"Chronic Absenteeism, 2011-12"
"State of Connecticut, All Schools, English Learner Status"

"Organization","School","School Code","English Learner Status","% Chronically Absent"
"Derby School District","Irving School","=""0370411""","ELL","*"
"Derby School District","Irving School","=""0370411""","Non-ELL","*"
"East Granby School District","Allgrove School","=""0400111""","ELL","*"
"East Granby School District","Allgrove School","=""0400111""","Non-ELL","*"
"East Granby School District","East Granby Middle School","=""0405111""","ELL","*"
"East Granby School District","East Granby Middle School","=""0405111""","Non-ELL","*"
"East Granby School District","East Granby High School","=""0406111""","Non-ELL",9.4
"East Granby School District","R. Dudley Seymour School","=""0400211""","Non-ELL","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","ELL","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","Non-ELL","*"
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Non-ELL",11.1
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Non-ELL",5.8
"East Hampton School District","East Hampton High School","=""0426111""","ELL","*"
"East Hampton School District","East Hampton High School","=""0426111""","Non-ELL","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","ELL","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","Non-ELL","*"
"East Hampton School District","Memorial School","=""0420111""","ELL","*"
"East Hampton School District","Memorial School","=""0420111""","Non-ELL","*"
"East Hampton School District","Center School","=""0420311""","Non-ELL",3.6
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","Non-ELL","*"
"East Hartford School District","Anna E. Norris School","=""0430911""","ELL","*"
"East Hartford School District","Anna E. Norris School","=""0430911""","Non-ELL","*"
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","ELL",19.0
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Non-ELL",10.1
"East Hartford School District","Dr. John A. Langford School","=""0432211""","ELL","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Non-ELL","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","ELL","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Non-ELL","*"
"East Hartford School District","East Hartford High School","=""0436211""","ELL",25.2
"East Hartford School District","East Hartford High School","=""0436211""","Non-ELL",19.7
"East Hartford School District","East Hartford Middle School","=""0435111""","ELL",8.3
"East Hartford School District","East Hartford Middle School","=""0435111""","Non-ELL",6.7
"East Hartford School District","Governor William Pitkin School","=""0432011""","ELL","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Non-ELL","*"
"East Hartford School District","Hockanum School","=""0430511""","ELL",27.6
"East Hartford School District","Hockanum School","=""0430511""","Non-ELL",14.8
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","ELL","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Non-ELL","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","ELL","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Non-ELL","*"
"East Hartford School District","Silver Lane School","=""0431211""","ELL",0.0
"East Hartford School District","Silver Lane School","=""0431211""","Non-ELL",2.6
"East Hartford School District","Stevens Alternate High school","=""0436411""","ELL","*"
"East Hartford School District","Stevens Alternate High school","=""0436411""","Non-ELL","*"
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","ELL","*"
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Non-ELL","*"
"East Hartford School District","Woodland School","=""0439011""","ELL","*"
"East Hartford School District","Woodland School","=""0439011""","Non-ELL","*"
"East Hartford School District","Connecticut IB Academy","=""0436311""","Non-ELL","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","ELL","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Non-ELL","*"
"East Haven School District","D. C. Moore School","=""0441411""","ELL","*"
"East Haven School District","D. C. Moore School","=""0441411""","Non-ELL","*"
"East Haven School District","Deer Run School","=""0440111""","ELL",18.2
"East Haven School District","Deer Run School","=""0440111""","Non-ELL",9.3
"East Haven School District","Dominick H. Ferrara School","=""0441311""","ELL","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Non-ELL","*"
"East Haven School District","East Haven High School","=""0446111""","ELL",26.1
"East Haven School District","East Haven High School","=""0446111""","Non-ELL",28.3
"East Haven School District","Grove J. Tuttle School","=""0441011""","ELL",0.0
"East Haven School District","Grove J. Tuttle School","=""0441011""","Non-ELL","*"
"East Haven School District","Joseph Melillo Middle School","=""0445111""","ELL","*"
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Non-ELL","*"
"East Haven School District","Momauguin School","=""0440711""","ELL","*"
"East Haven School District","Momauguin School","=""0440711""","Non-ELL","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","ELL","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Non-ELL","*"
"East Haven School District","Pathways","=""0449011""","Non-ELL",95.7
"East Lyme School District","East Lyme High School","=""0456111""","ELL","*"
"East Lyme School District","East Lyme High School","=""0456111""","Non-ELL","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","ELL","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","Non-ELL","*"
"East Lyme School District","Flanders School","=""0450111""","ELL","*"
"East Lyme School District","Flanders School","=""0450111""","Non-ELL","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","ELL","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Non-ELL","*"
"East Lyme School District","Niantic Center School","=""0450211""","ELL","*"
"East Lyme School District","Niantic Center School","=""0450211""","Non-ELL","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","ELL","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Non-ELL","*"
"East Windsor School District","East Windsor High School","=""0476111""","ELL","*"
"East Windsor School District","East Windsor High School","=""0476111""","Non-ELL","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","ELL","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Non-ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Non-ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Non-ELL","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Non-ELL",5.9
"Eastford School District","Eastford Elementary School","=""0390111""","Non-ELL",5.7
"Easton School District","Helen Keller Middle School","=""0465111""","ELL","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Non-ELL","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","ELL","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Non-ELL","*"
"Education Connection","Education Connection Special Education","=""2429014""","Non-ELL",50.0
"Ellington School District","Center School","=""0480111""","ELL","*"
"Ellington School District","Center School","=""0480111""","Non-ELL",3.4
"Ellington School District","Crystal Lake School","=""0480211""","ELL","*"
"Ellington School District","Crystal Lake School","=""0480211""","Non-ELL","*"
"Ellington School District","Ellington High School","=""0486111""","ELL","*"
"Ellington School District","Ellington High School","=""0486111""","Non-ELL","*"
"Ellington School District","Ellington Middle School","=""0485111""","ELL","*"
"Ellington School District","Ellington Middle School","=""0485111""","Non-ELL","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","ELL","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Non-ELL","*"
"Ellington School District","Windermere School","=""0480611""","ELL","*"
"Ellington School District","Windermere School","=""0480611""","Non-ELL","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","ELL","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Non-ELL","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","ELL","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Non-ELL","*"
"Enfield School District","Eli Whitney School","=""0491611""","ELL","*"
"Enfield School District","Eli Whitney School","=""0491611""","Non-ELL",8.9
"Enfield School District","Enfield High School","=""0496111""","ELL","*"
"Enfield School District","Enfield High School","=""0496111""","Non-ELL","*"
"Enfield School District","Enfield Street School","=""0490211""","ELL","*"
"Enfield School District","Enfield Street School","=""0490211""","Non-ELL","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","ELL","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Non-ELL","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","ELL","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Non-ELL","*"
"Enfield School District","Henry Barnard School","=""0491811""","ELL","*"
"Enfield School District","Henry Barnard School","=""0491811""","Non-ELL","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","ELL","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Non-ELL",14.3
"Enfield School District","Nathan Hale School","=""0491111""","ELL","*"
"Enfield School District","Nathan Hale School","=""0491111""","Non-ELL",6.6
"Enfield School District","Prudence Crandall School","=""0491511""","ELL","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Non-ELL","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Non-ELL","*"
"Essex School District","Essex Elementary School","=""0500111""","ELL","*"
"Essex School District","Essex Elementary School","=""0500111""","Non-ELL","*"
"Explorations District","Explorations","=""2726113""","Non-ELL",20.3
"Fairfield School District","Burr Elementary School","=""0510211""","ELL","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Non-ELL","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","ELL","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Non-ELL","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","ELL","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Non-ELL","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","ELL","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Non-ELL","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","ELL","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Non-ELL","*"
"Fairfield School District","Holland Hill School","=""0510411""","ELL",0.0
"Fairfield School District","Holland Hill School","=""0510411""","Non-ELL",3.0
"Fairfield School District","Jennings School","=""0511711""","ELL","*"
"Fairfield School District","Jennings School","=""0511711""","Non-ELL","*"
"Fairfield School District","McKinley School","=""0510611""","ELL","*"
"Fairfield School District","McKinley School","=""0510611""","Non-ELL","*"
"Fairfield School District","Mill Hill School","=""0510711""","ELL","*"
"Fairfield School District","Mill Hill School","=""0510711""","Non-ELL","*"
"Fairfield School District","North Stratfield School","=""0511611""","ELL","*"
"Fairfield School District","North Stratfield School","=""0511611""","Non-ELL","*"
"Fairfield School District","Osborn Hill School","=""0511811""","ELL","*"
"Fairfield School District","Osborn Hill School","=""0511811""","Non-ELL","*"
"Fairfield School District","Riverfield School","=""0511211""","ELL","*"
"Fairfield School District","Riverfield School","=""0511211""","Non-ELL","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","ELL","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Non-ELL","*"
"Fairfield School District","Sherman School","=""0511311""","ELL","*"
"Fairfield School District","Sherman School","=""0511311""","Non-ELL",2.2
"Fairfield School District","Stratfield School","=""0511411""","ELL","*"
"Fairfield School District","Stratfield School","=""0511411""","Non-ELL","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","ELL","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Non-ELL","*"
"Farmington School District","East Farms School","=""0520411""","ELL","*"
"Farmington School District","East Farms School","=""0520411""","Non-ELL","*"
"Farmington School District","Farmington High School","=""0526111""","ELL","*"
"Farmington School District","Farmington High School","=""0526111""","Non-ELL","*"
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","ELL","*"
"Farmington School District","Irving A. Robbins Middle School","=""0525111""","Non-ELL","*"
"Farmington School District","Noah Wallace School","=""0520211""","ELL","*"
"Farmington School District","Noah Wallace School","=""0520211""","Non-ELL","*"
"Farmington School District","Union School","=""0520111""","ELL","*"
"Farmington School District","Union School","=""0520111""","Non-ELL","*"
"Farmington School District","West District School","=""0520311""","ELL","*"
"Farmington School District","West District School","=""0520311""","Non-ELL","*"
"Farmington School District","West Woods Upper Elementary School","=""0520511""","ELL","*"
"Farmington School District","West Woods Upper Elementary School","=""0520511""","Non-ELL","*"
"Franklin School District","Franklin Elementary School","=""0530111""","Non-ELL","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","ELL","*"
"Glastonbury School District","Buttonball Lane School","=""0540211""","Non-ELL","*"
"Glastonbury School District","Eastbury School","=""0540311""","ELL","*"
"Glastonbury School District","Eastbury School","=""0540311""","Non-ELL","*"
"Glastonbury School District","Gideon Welles School","=""0540811""","ELL","*"
"Glastonbury School District","Gideon Welles School","=""0540811""","Non-ELL","*"
"Glastonbury School District","Glastonbury High School","=""0546111""","ELL","*"
"Glastonbury School District","Glastonbury High School","=""0546111""","Non-ELL","*"
"Glastonbury School District","Hebron Avenue School","=""0540411""","ELL","*"
"Glastonbury School District","Hebron Avenue School","=""0540411""","Non-ELL","*"
"Glastonbury School District","Hopewell School","=""0540611""","ELL","*"
"Glastonbury School District","Hopewell School","=""0540611""","Non-ELL","*"
"Glastonbury School District","Naubuc School","=""0540711""","ELL","*"
"Glastonbury School District","Naubuc School","=""0540711""","Non-ELL","*"
"Glastonbury School District","Nayaug Elementary School","=""0540911""","ELL","*"
"Glastonbury School District","Nayaug Elementary School","=""0540911""","Non-ELL","*"
"Glastonbury School District","Smith Middle School","=""0545211""","ELL","*"
"Glastonbury School District","Smith Middle School","=""0545211""","Non-ELL","*"
"Granby School District","Frank M. Kearns Primary School","=""0560111""","ELL","*"
"Granby School District","Frank M. Kearns Primary School","=""0560111""","Non-ELL","*"
"Granby School District","Granby Memorial High School","=""0566111""","ELL","*"
"Granby School District","Granby Memorial High School","=""0566111""","Non-ELL","*"
"Granby School District","Kelly Lane Intermediate School","=""0560411""","ELL","*"
"Granby School District","Kelly Lane Intermediate School","=""0560411""","Non-ELL","*"
"Granby School District","Wells Road Intermediate School","=""0560311""","ELL","*"
"Granby School District","Wells Road Intermediate School","=""0560311""","Non-ELL","*"
"Granby School District","Granby Memorial Middle School","=""0565111""","Non-ELL",7.1
"Greenwich School District","Central Middle School","=""0575111""","ELL","*"
"Greenwich School District","Central Middle School","=""0575111""","Non-ELL","*"
"Greenwich School District","Cos Cob School","=""0570211""","ELL","*"
"Greenwich School District","Cos Cob School","=""0570211""","Non-ELL","*"
"Greenwich School District","Eastern Middle School","=""0575211""","ELL",0.0
"Greenwich School District","Eastern Middle School","=""0575211""","Non-ELL",5.7
"Greenwich School District","Glenville School","=""0570411""","ELL","*"
"Greenwich School District","Glenville School","=""0570411""","Non-ELL","*"
"Greenwich School District","Greenwich High School","=""0576111""","ELL","*"
"Greenwich School District","Greenwich High School","=""0576111""","Non-ELL","*"
"Greenwich School District","Hamilton Avenue School","=""0570511""","ELL",12.8
"Greenwich School District","Hamilton Avenue School","=""0570511""","Non-ELL",6.6
"Greenwich School District","International School At Dundee","=""0571311""","ELL","*"
"Greenwich School District","International School At Dundee","=""0571311""","Non-ELL","*"
"Greenwich School District","Julian Curtiss School","=""0570311""","ELL",0.0
"Greenwich School District","Julian Curtiss School","=""0570311""","Non-ELL",4.6
"Greenwich School District","New Lebanon School","=""0570611""","ELL","*"
"Greenwich School District","New Lebanon School","=""0570611""","Non-ELL","*"
"Greenwich School District","North Mianus School","=""0570711""","ELL","*"
"Greenwich School District","North Mianus School","=""0570711""","Non-ELL","*"
"Greenwich School District","North Street School","=""0570811""","ELL","*"
"Greenwich School District","North Street School","=""0570811""","Non-ELL",2.9
"Greenwich School District","Old Greenwich School","=""0570911""","ELL","*"
"Greenwich School District","Old Greenwich School","=""0570911""","Non-ELL","*"
"Greenwich School District","Parkway School","=""0571111""","ELL","*"
"Greenwich School District","Parkway School","=""0571111""","Non-ELL","*"
"Greenwich School District","Riverside School","=""0571011""","ELL","*"
"Greenwich School District","Riverside School","=""0571011""","Non-ELL","*"
"Greenwich School District","Western Middle School","=""0575311""","ELL","*"
"Greenwich School District","Western Middle School","=""0575311""","Non-ELL","*"
"Griswold School District","Griswold Elementary School","=""0580311""","ELL","*"
"Griswold School District","Griswold Elementary School","=""0580311""","Non-ELL","*"
"Griswold School District","Griswold Middle School","=""0585111""","ELL","*"
"Griswold School District","Griswold Middle School","=""0585111""","Non-ELL","*"
"Griswold School District","Griswold High School","=""0586211""","Non-ELL",16.9
"Groton School District","Carl C. Cutler Middle School","=""0595311""","ELL","*"
"Groton School District","Carl C. Cutler Middle School","=""0595311""","Non-ELL","*"
"Groton School District","Catherine Kolnaski Magnet School","=""0590311""","ELL",23.5
"Groton School District","Catherine Kolnaski Magnet School","=""0590311""","Non-ELL",24.0
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","ELL",23.5
"Groton School District","Catherine Kolnaski Magnet School","=""0592011""","Non-ELL",24.0
"Groton School District","Charles Barnum School","=""0591811""","ELL","*"
"Groton School District","Charles Barnum School","=""0591811""","Non-ELL","*"
"Groton School District","Fitch Middle School","=""0595111""","ELL","*"
"Groton School District","Fitch Middle School","=""0595111""","Non-ELL","*"
"Groton School District","Northeast Academy Elementary School","=""0591911""","ELL","*"
"Groton School District","Northeast Academy Elementary School","=""0591911""","Non-ELL","*"
"Groton School District","Pleasant Valley School","=""0591211""","ELL","*"
"Groton School District","Pleasant Valley School","=""0591211""","Non-ELL","*"
"Groton School District","Robert E. Fitch High School","=""0596111""","ELL",39.3
"Groton School District","Robert E. Fitch High School","=""0596111""","Non-ELL",24.3
"Groton School District","S. B. Butler School","=""0590111""","ELL","*"
"Groton School District","S. B. Butler School","=""0590111""","Non-ELL","*"
"Groton School District","West Side Middle School","=""0595211""","ELL","*"
"Groton School District","West Side Middle School","=""0595211""","Non-ELL","*"
"Groton School District","Mary Morrisson School","=""0591711""","Non-ELL",8.6
"Guilford School District","A. Baldwin Middle School","=""0600711""","ELL","*"
"Guilford School District","A. Baldwin Middle School","=""0600711""","Non-ELL","*"
"Guilford School District","A. W. Cox School","=""0600611""","ELL","*"
"Guilford School District","A. W. Cox School","=""0600611""","Non-ELL","*"
"Guilford School District","Calvin Leete School","=""0600411""","ELL","*"
"Guilford School District","Calvin Leete School","=""0600411""","Non-ELL","*"
"Guilford School District","E. C. Adams Middle School","=""0605111""","ELL","*"
"Guilford School District","E. C. Adams Middle School","=""0605111""","Non-ELL","*"
"Guilford School District","Guilford High School","=""0606111""","ELL","*"
"Guilford School District","Guilford High School","=""0606111""","Non-ELL","*"
"Guilford School District","Guilford Lakes School","=""0600211""","ELL","*"
"Guilford School District","Guilford Lakes School","=""0600211""","Non-ELL","*"
"Guilford School District","Melissa Jones School","=""0600311""","ELL","*"
"Guilford School District","Melissa Jones School","=""0600311""","Non-ELL","*"
"Hamden School District","Bear Path School","=""0621211""","ELL","*"
"Hamden School District","Bear Path School","=""0621211""","Non-ELL","*"
"Hamden School District","Church Street School","=""0620211""","ELL","*"
"Hamden School District","Church Street School","=""0620211""","Non-ELL","*"
"Hamden School District","Dunbar Hill School","=""0620311""","ELL","*"
"Hamden School District","Dunbar Hill School","=""0620311""","Non-ELL","*"
"Hamden School District","Hamden High School","=""0626111""","ELL","*"
"Hamden School District","Hamden High School","=""0626111""","Non-ELL","*"
"Hamden School District","Hamden Middle School","=""0625211""","ELL","*"
"Hamden School District","Hamden Middle School","=""0625211""","Non-ELL","*"
"Hamden School District","Helen Street School","=""0620411""","ELL","*"
"Hamden School District","Helen Street School","=""0620411""","Non-ELL","*"
"Hamden School District","Ridge Hill School","=""0621111""","ELL",0.0
"Hamden School District","Ridge Hill School","=""0621111""","Non-ELL",15.4
"Hamden School District","Shepherd Glen School","=""0620111""","ELL","*"
"Hamden School District","Shepherd Glen School","=""0620111""","Non-ELL","*"
"Hamden School District","Spring Glen School","=""0621011""","ELL","*"
"Hamden School District","Spring Glen School","=""0621011""","Non-ELL","*"
"Hamden School District","West Woods School","=""0621411""","ELL","*"
"Hamden School District","West Woods School","=""0621411""","Non-ELL","*"
"Hampton School District","Hampton Elementary School","=""0630111""","Non-ELL",5.8
"Hartford School District","Asian Studies Academy","=""0640711""","ELL",28.2
"Hartford School District","Asian Studies Academy","=""0640711""","Non-ELL",27.1
"Hartford School District","Batchelder School","=""0640411""","ELL",23.9
"Hartford School District","Batchelder School","=""0640411""","Non-ELL",15.7
"Hartford School District","Breakthrough II Elementary School","=""0643511""","ELL","*"
"Hartford School District","Breakthrough II Elementary School","=""0643511""","Non-ELL","*"
"Hartford School District","Breakthrough Magnet School","=""0643311""","ELL","*"
"Hartford School District","Breakthrough Magnet School","=""0643311""","Non-ELL","*"
"Hartford School District","Bulkeley High School Lower School","=""0646111""","ELL",54.7
"Hartford School District","Bulkeley High School Lower School","=""0646111""","Non-ELL",44.9
"Hartford School District","Bulkeley High School Upper School","=""0647111""","ELL",42.3
"Hartford School District","Bulkeley High School Upper School","=""0647111""","Non-ELL",49.3
"Hartford School District","Burns Latino Studies Academy","=""0640611""","ELL",55.9
"Hartford School District","Burns Latino Studies Academy","=""0640611""","Non-ELL",43.9
"Hartford School District","Burr School","=""0642311""","ELL",27.3
"Hartford School District","Burr School","=""0642311""","Non-ELL",25.1
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","ELL","*"
"Hartford School District","Capital Preparatory Magnet School","=""0646911""","Non-ELL","*"
"Hartford School District","Clark School","=""0642411""","ELL",44.1
"Hartford School District","Clark School","=""0642411""","Non-ELL",39.1
"Hartford School District","Classical Magnet School","=""0646411""","ELL","*"
"Hartford School District","Classical Magnet School","=""0646411""","Non-ELL","*"
"Hartford School District","Culinary Arts Academy","=""0646011""","ELL",63.6
"Hartford School District","Culinary Arts Academy","=""0646011""","Non-ELL",54.9
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","ELL",22.8
"Hartford School District","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Non-ELL",17.2
"Hartford School District","Dr. Joseph Bellizzi Middle School","=""0645311""","ELL","*"
"Hartford School District","Dr. Joseph Bellizzi Middle School","=""0645311""","Non-ELL","*"
"Hartford School District","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","ELL",44.2
"Hartford School District","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Non-ELL",41.3
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","ELL","*"
"Hartford School District","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Non-ELL","*"
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","ELL",25.8
"Hartford School District","Expeditionary Learning Academy at Moylan School","=""0643211""","Non-ELL",29.6
"Hartford School District","Fred D. Wish Museum School","=""0642211""","ELL",47.9
"Hartford School District","Fred D. Wish Museum School","=""0642211""","Non-ELL",20.3
"Hartford School District","Global Communications Academy","=""0643611""","ELL","*"
"Hartford School District","Global Communications Academy","=""0643611""","Non-ELL","*"
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","ELL",60.0
"Hartford School District","HPHS Academy of Engineering and Green Technology","=""0647211""","Non-ELL",65.9
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","ELL",70.0
"Hartford School District","HPHS Academy of Nursing and Health Science","=""0647511""","Non-ELL",54.5
"Hartford School District","HPHS Freshmen Academy","=""0647311""","ELL",67.9
"Hartford School District","HPHS Freshmen Academy","=""0647311""","Non-ELL",60.7
"Hartford School District","HPHS Law and Government Academy","=""0647411""","ELL",42.1
"Hartford School District","HPHS Law and Government Academy","=""0647411""","Non-ELL",46.3
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""","ELL","*"
"Hartford School District","Hartford Magnet Trinity College Academy","=""0645411""","Non-ELL","*"
"Hartford School District","Hartford Transitional Learning Academy (Elementary)","=""0649011""","ELL","*"
"Hartford School District","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Non-ELL","*"
"Hartford School District","High School Inc.","=""0647611""","ELL",53.7
"Hartford School District","High School Inc.","=""0647611""","Non-ELL",55.6
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""","ELL",40.0
"Hartford School District","Journalism and Media Academy Magnet School","=""0647711""","Non-ELL",62.4
"Hartford School District","Kennelly School","=""0641011""","ELL",21.3
"Hartford School District","Kennelly School","=""0641011""","Non-ELL",16.5
"Hartford School District","M. D. Fox Elementary School","=""0640811""","ELL",16.9
"Hartford School District","M. D. Fox Elementary School","=""0640811""","Non-ELL",24.1
"Hartford School District","M. L. King School","=""0641611""","ELL",29.6
"Hartford School District","M. L. King School","=""0641611""","Non-ELL",34.0
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""","ELL",56.3
"Hartford School District","McDonough Expeditionary Learning School","=""0641211""","Non-ELL",39.9
"Hartford School District","Milner Elementary School","=""0641911""","ELL",45.7
"Hartford School District","Milner Elementary School","=""0641911""","Non-ELL",34.5
"Hartford School District","Montessori Magnet School at Annie Fisher","=""0643711""","ELL","*"
"Hartford School District","Montessori Magnet School at Annie Fisher","=""0643711""","Non-ELL","*"
"Hartford School District","Noah Webster Micro Society School","=""0642011""","ELL","*"
"Hartford School District","Noah Webster Micro Society School","=""0642011""","Non-ELL","*"
"Hartford School District","OPPortunity High School","=""0647811""","ELL","*"
"Hartford School District","OPPortunity High School","=""0647811""","Non-ELL","*"
"Hartford School District","Parkville Community School","=""0641511""","ELL",21.7
"Hartford School District","Parkville Community School","=""0641511""","Non-ELL",24.2
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""","ELL","*"
"Hartford School District","Pathways Academy of Technology and Design","=""0646611""","Non-ELL","*"
"Hartford School District","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","ELL",15.2
"Hartford School District","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Non-ELL",4.7
"Hartford School District","SAND School","=""0640111""","ELL",55.9
"Hartford School District","SAND School","=""0640111""","Non-ELL",34.2
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""","ELL","*"
"Hartford School District","STEM Magnet School at Annie Fisher","=""0642511""","Non-ELL","*"
"Hartford School District","Sanchez School","=""0643011""","ELL",28.4
"Hartford School District","Sanchez School","=""0643011""","Non-ELL",37.5
"Hartford School District","Sarah J Rawson Middle Grades Academy","=""0645611""","ELL","*"
"Hartford School District","Sarah J Rawson Middle Grades Academy","=""0645611""","Non-ELL","*"
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""","ELL","*"
"Hartford School District","Sarah J. Rawson Elementary School","=""0641711""","Non-ELL","*"
"Hartford School District","Simpson-Waverly School","=""0642611""","ELL","*"
"Hartford School District","Simpson-Waverly School","=""0642611""","Non-ELL","*"
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""","ELL",21.7
"Hartford School District","Sports and Medical Sciences Academy","=""0646511""","Non-ELL",12.2
"Hartford School District","University High of Science and Engineering","=""0646711""","ELL","*"
"Hartford School District","University High of Science and Engineering","=""0646711""","Non-ELL","*"
"Hartford School District","West Middle School","=""0642111""","ELL",15.2
"Hartford School District","West Middle School","=""0642111""","Non-ELL",19.5
"Hartford School District","Renzulli Academy","=""0644011""","Non-ELL",23.4
"Hartland School District","Hartland School","=""0650111""","Non-ELL",2.9
"Hebron School District","Gilead Hill School","=""0670211""","ELL","*"
"Hebron School District","Gilead Hill School","=""0670211""","Non-ELL","*"
"Hebron School District","Hebron Elementary School","=""0670111""","Non-ELL",2.9
"Highville Charter School District","Highville Charter School","=""2860113""","Non-ELL",4.4
"Integrated Day Charter School District","Integrated Day Charter School","=""2640113""","ELL","*"
