"Chronic Absenteeism, 2014-15"
", All Schools, Free/Reduced Price Meal Eligibility"

"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","% Chronically Absent"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Eligible For Free Lunch","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Not Eligible For Lunch","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Eligible For Reduced Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Eligible For Free Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Not Eligible For Lunch",7.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Eligible For Reduced Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Eligible For Free Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Not Eligible For Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Eligible For Reduced Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Eligible For Free Lunch","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Not Eligible For Lunch",48.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Eligible For Reduced Lunch","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Eligible For Free Lunch","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Not Eligible For Lunch","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Eligible For Free Lunch","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Not Eligible For Lunch",2.9
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Eligible For Reduced Lunch","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Eligible For Free Lunch","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Not Eligible For Lunch","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Eligible For Reduced Lunch","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Eligible For Free Lunch","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Not Eligible For Lunch","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Eligible For Free Lunch","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Not Eligible For Lunch",3.0
"Ellington School District","=""0480011""","Center School","=""0480111""","Eligible For Reduced Lunch","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Eligible For Free Lunch","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Not Eligible For Lunch",0.0
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Eligible For Reduced Lunch","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Eligible For Free Lunch","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Not Eligible For Lunch",2.9
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Eligible For Reduced Lunch","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Eligible For Free Lunch","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Not Eligible For Lunch",6.5
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Eligible For Reduced Lunch","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Eligible For Free Lunch","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Not Eligible For Lunch",2.8
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Eligible For Reduced Lunch","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Eligible For Free Lunch","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Not Eligible For Lunch",4.8
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Eligible For Reduced Lunch","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Eligible For Free Lunch",5.6
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Not Eligible For Lunch","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Eligible For Reduced Lunch","*"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","Eligible For Free Lunch","*"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Eligible For Free Lunch",18.6
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Not Eligible For Lunch",3.4
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Eligible For Reduced Lunch",0.0
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Eligible For Free Lunch",9.0
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Eligible For Free Lunch",27.1
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Not Eligible For Lunch",12.7
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Eligible For Reduced Lunch",19.3
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Eligible For Free Lunch",23.2
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Not Eligible For Lunch",9.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Eligible For Reduced Lunch",26.7
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Eligible For Free Lunch",14.6
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Eligible For Free Lunch",27.6
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Not Eligible For Lunch",10.5
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Eligible For Free Lunch",13.6
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Not Eligible For Lunch",5.9
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Eligible For Reduced Lunch","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Eligible For Free Lunch","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Eligible For Free Lunch",8.8
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Not Eligible For Lunch","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Eligible For Reduced Lunch","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Eligible For Free Lunch","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Not Eligible For Lunch",2.4
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Eligible For Reduced Lunch","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Eligible For Free Lunch","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Not Eligible For Lunch",27.6
"Explorations District","=""2720013""","Explorations","=""2726113""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Not Eligible For Lunch","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Not Eligible For Lunch","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Not Eligible For Lunch",4.1
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Not Eligible For Lunch",3.4
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Not Eligible For Lunch",2.4
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Not Eligible For Lunch",1.8
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Not Eligible For Lunch",3.3
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Eligible For Free Lunch",8.3
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Not Eligible For Lunch",2.9
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Eligible For Reduced Lunch",0.0
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Not Eligible For Lunch",1.8
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Not Eligible For Lunch",1.5
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Not Eligible For Lunch","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Not Eligible For Lunch","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Not Eligible For Lunch",5.3
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Not Eligible For Lunch",1.5
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Not Eligible For Lunch",2.5
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Not Eligible For Lunch",2.7
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Eligible For Reduced Lunch","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Eligible For Free Lunch","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Not Eligible For Lunch","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Not Eligible For Lunch",2.2
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Not Eligible For Lunch","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Not Eligible For Lunch",8.8
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Not Eligible For Lunch","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Not Eligible For Lunch",2.9
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Not Eligible For Lunch","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Not Eligible For Lunch","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Eligible For Reduced Lunch","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Eligible For Free Lunch","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Not Eligible For Lunch","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Eligible For Reduced Lunch","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Eligible For Free Lunch","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Not Eligible For Lunch","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Eligible For Free Lunch",12.2
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Not Eligible For Lunch",3.1
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Eligible For Reduced Lunch",14.6
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Eligible For Reduced Lunch",0.0
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Eligible For Reduced Lunch","*"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","Not Eligible For Lunch","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Eligible For Free Lunch","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Not Eligible For Lunch",1.5
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Eligible For Reduced Lunch","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Eligible For Free Lunch","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Not Eligible For Lunch",4.0
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Eligible For Reduced Lunch","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Eligible For Free Lunch","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Not Eligible For Lunch",4.2
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Eligible For Reduced Lunch","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Eligible For Free Lunch","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Not Eligible For Lunch",2.1
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Eligible For Reduced Lunch","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Eligible For Free Lunch","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Not Eligible For Lunch","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Eligible For Reduced Lunch","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Eligible For Free Lunch","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Not Eligible For Lunch","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Eligible For Reduced Lunch","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Eligible For Free Lunch",24.7
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Not Eligible For Lunch","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Eligible For Free Lunch",74.2
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Not Eligible For Lunch",1.8
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Not Eligible For Lunch",3.2
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Eligible For Free Lunch",8.4
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Eligible For Reduced Lunch",0.0
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Not Eligible For Lunch",1.3
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Not Eligible For Lunch",3.3
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Eligible For Reduced Lunch","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Not Eligible For Lunch","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Eligible For Free Lunch","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Not Eligible For Lunch",4.0
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Eligible For Reduced Lunch","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Eligible For Free Lunch","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Not Eligible For Lunch","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Eligible For Reduced Lunch","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Eligible For Free Lunch",10.7
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Not Eligible For Lunch","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Eligible For Reduced Lunch","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Eligible For Free Lunch",28.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Not Eligible For Lunch",7.9
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Eligible For Reduced Lunch",15.8
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Eligible For Free Lunch",23.1
