"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"Derby School District","Derby Middle School","=""0375011""","White",18.8
"Derby School District","Irving School","=""0370411""","Asian","*"
"Derby School District","Irving School","=""0370411""","Black or African American",10.3
"Derby School District","Irving School","=""0370411""","Hispanic/Latino of any race",15.0
"Derby School District","Irving School","=""0370411""","Native Hawaiian or Other Pacific Islander","*"
"Derby School District","Irving School","=""0370411""","Two or More Races","*"
"Derby School District","Irving School","=""0370411""","White",18.3
"East Granby School District","Allgrove School","=""0400111""","American Indian or Alaska Native","*"
"East Granby School District","Allgrove School","=""0400111""","Asian","*"
"East Granby School District","Allgrove School","=""0400111""","Black or African American","*"
"East Granby School District","Allgrove School","=""0400111""","Hispanic/Latino of any race","*"
"East Granby School District","Allgrove School","=""0400111""","Two or More Races","*"
"East Granby School District","Allgrove School","=""0400111""","White","*"
"East Granby School District","East Granby Middle School","=""0405111""","American Indian or Alaska Native","*"
"East Granby School District","East Granby Middle School","=""0405111""","Asian","*"
"East Granby School District","East Granby Middle School","=""0405111""","Black or African American","*"
"East Granby School District","East Granby Middle School","=""0405111""","Hispanic/Latino of any race","*"
"East Granby School District","East Granby Middle School","=""0405111""","Two or More Races","*"
"East Granby School District","East Granby Middle School","=""0405111""","White",4.3
"East Granby School District","R. Dudley Seymour School","=""0400211""","American Indian or Alaska Native","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","Asian","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","Black or African American","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","Hispanic/Latino of any race","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","Two or More Races","*"
"East Granby School District","R. Dudley Seymour School","=""0400211""","White",5.5
"East Granby School District","East Granby High School","=""0406111""","Asian","*"
"East Granby School District","East Granby High School","=""0406111""","Black or African American","*"
"East Granby School District","East Granby High School","=""0406111""","Hispanic/Latino of any race","*"
"East Granby School District","East Granby High School","=""0406111""","Two or More Races","*"
"East Granby School District","East Granby High School","=""0406111""","White",4.1
"East Haddam School District","East Haddam Elementary School","=""0410111""","Asian","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","Black or African American","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","Hispanic/Latino of any race","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","Two or More Races","*"
"East Haddam School District","East Haddam Elementary School","=""0410111""","White",4.2
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Asian","*"
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Black or African American","*"
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Hispanic/Latino of any race","*"
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","Two or More Races","*"
"East Haddam School District","Nathan Hale-Ray High School","=""0416111""","White","*"
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Hispanic/Latino of any race","*"
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","Two or More Races","*"
"East Haddam School District","Nathan Hale-Ray Middle School","=""0415111""","White",4.3
"East Hampton School District","Center School","=""0420311""","Asian","*"
"East Hampton School District","Center School","=""0420311""","Black or African American","*"
"East Hampton School District","Center School","=""0420311""","Hispanic/Latino of any race","*"
"East Hampton School District","Center School","=""0420311""","Two or More Races","*"
"East Hampton School District","Center School","=""0420311""","White",7.1
"East Hampton School District","East Hampton High School","=""0426111""","Asian","*"
"East Hampton School District","East Hampton High School","=""0426111""","Black or African American","*"
"East Hampton School District","East Hampton High School","=""0426111""","Hispanic/Latino of any race","*"
"East Hampton School District","East Hampton High School","=""0426111""","Native Hawaiian or Other Pacific Islander","*"
"East Hampton School District","East Hampton High School","=""0426111""","Two or More Races","*"
"East Hampton School District","East Hampton High School","=""0426111""","White",6.6
"East Hampton School District","East Hampton Middle School","=""0425111""","Asian","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","Black or African American","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","Hispanic/Latino of any race","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","Two or More Races","*"
"East Hampton School District","East Hampton Middle School","=""0425111""","White","*"
"East Hampton School District","Memorial School","=""0420111""","Asian","*"
"East Hampton School District","Memorial School","=""0420111""","Black or African American","*"
"East Hampton School District","Memorial School","=""0420111""","Hispanic/Latino of any race","*"
"East Hampton School District","Memorial School","=""0420111""","Two or More Races","*"
"East Hampton School District","Memorial School","=""0420111""","White",5.9
"East Hampton School District","The Learning Center at East Hampton","=""0429011""","White","*"
"East Hartford School District","Connecticut IB Academy","=""0436311""","American Indian or Alaska Native","*"
"East Hartford School District","Connecticut IB Academy","=""0436311""","Asian","*"
"East Hartford School District","Connecticut IB Academy","=""0436311""","Black or African American",0.0
"East Hartford School District","Connecticut IB Academy","=""0436311""","Hispanic/Latino of any race",0.0
"East Hartford School District","Connecticut IB Academy","=""0436311""","White",0.0
"East Hartford School District","Dr. John A. Langford School","=""0432211""","American Indian or Alaska Native","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Asian","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Black or African American",14.3
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Hispanic/Latino of any race",20.1
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Native Hawaiian or Other Pacific Islander","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","Two or More Races","*"
"East Hartford School District","Dr. John A. Langford School","=""0432211""","White","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","American Indian or Alaska Native","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Asian","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Black or African American","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Hispanic/Latino of any race",8.9
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","Two or More Races","*"
"East Hartford School District","Dr. Thomas S. O'Connell School","=""0431011""","White",9.1
"East Hartford School District","East Hartford High School","=""0436211""","American Indian or Alaska Native","*"
"East Hartford School District","East Hartford High School","=""0436211""","Asian","*"
"East Hartford School District","East Hartford High School","=""0436211""","Black or African American",3.4
"East Hartford School District","East Hartford High School","=""0436211""","Hispanic/Latino of any race",5.8
"East Hartford School District","East Hartford High School","=""0436211""","White","*"
"East Hartford School District","East Hartford Middle School","=""0435111""","American Indian or Alaska Native","*"
"East Hartford School District","East Hartford Middle School","=""0435111""","Asian","*"
"East Hartford School District","East Hartford Middle School","=""0435111""","Black or African American",13.5
"East Hartford School District","East Hartford Middle School","=""0435111""","Hispanic/Latino of any race",17.9
"East Hartford School District","East Hartford Middle School","=""0435111""","White",18.7
"East Hartford School District","Governor William Pitkin School","=""0432011""","American Indian or Alaska Native","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Asian","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Black or African American","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","Hispanic/Latino of any race",11.7
"East Hartford School District","Governor William Pitkin School","=""0432011""","Two or More Races","*"
"East Hartford School District","Governor William Pitkin School","=""0432011""","White","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","American Indian or Alaska Native","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Asian","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Black or African American","*"
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","Hispanic/Latino of any race",15.3
"East Hartford School District","Joseph O. Goodwin School","=""0430411""","White",10.1
"East Hartford School District","Robert J. O'Brien School","=""0431811""","American Indian or Alaska Native","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Asian","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Black or African American",8.0
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Hispanic/Latino of any race",18.5
"East Hartford School District","Robert J. O'Brien School","=""0431811""","Native Hawaiian or Other Pacific Islander","*"
"East Hartford School District","Robert J. O'Brien School","=""0431811""","White",20.0
"East Hartford School District","Silver Lane School","=""0431211""","American Indian or Alaska Native","*"
"East Hartford School District","Silver Lane School","=""0431211""","Black or African American",17.1
"East Hartford School District","Silver Lane School","=""0431211""","Hispanic/Latino of any race",24.6
"East Hartford School District","Silver Lane School","=""0431211""","Two or More Races","*"
"East Hartford School District","Silver Lane School","=""0431211""","White","*"
"East Hartford School District","Stevens Alternate High school","=""0436411""","American Indian or Alaska Native","*"
"East Hartford School District","Stevens Alternate High school","=""0436411""","Black or African American",56.9
"East Hartford School District","Stevens Alternate High school","=""0436411""","Hispanic/Latino of any race",78.2
"East Hartford School District","Stevens Alternate High school","=""0436411""","White","*"
"East Hartford School District","Woodland School","=""0439011""","American Indian or Alaska Native","*"
"East Hartford School District","Woodland School","=""0439011""","Black or African American",47.0
"East Hartford School District","Woodland School","=""0439011""","Hispanic/Latino of any race",64.4
"East Hartford School District","Woodland School","=""0439011""","White","*"
"East Hartford School District","Anna E. Norris School","=""0430911""","Asian","*"
"East Hartford School District","Anna E. Norris School","=""0430911""","Black or African American",13.9
"East Hartford School District","Anna E. Norris School","=""0430911""","Hispanic/Latino of any race",19.2
"East Hartford School District","Anna E. Norris School","=""0430911""","White","*"
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Asian","*"
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Black or African American",11.2
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","Hispanic/Latino of any race",18.1
"East Hartford School District","Dr. Franklin H. Mayberry School","=""0430611""","White","*"
"East Hartford School District","Hockanum School","=""0430511""","Asian","*"
"East Hartford School District","Hockanum School","=""0430511""","Black or African American",16.0
"East Hartford School District","Hockanum School","=""0430511""","Hispanic/Latino of any race",15.2
"East Hartford School District","Hockanum School","=""0430511""","White","*"
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Asian","*"
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Black or African American","*"
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Hispanic/Latino of any race",5.8
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Two or More Races","*"
"East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","White","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","American Indian or Alaska Native","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Asian","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Black or African American","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Hispanic/Latino of any race","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","Two or More Races","*"
"East Haven School District","Carbone School/East Haven Academy","=""0441711""","White",16.3
"East Haven School District","D. C. Moore School","=""0441411""","American Indian or Alaska Native","*"
"East Haven School District","D. C. Moore School","=""0441411""","Asian","*"
"East Haven School District","D. C. Moore School","=""0441411""","Black or African American","*"
"East Haven School District","D. C. Moore School","=""0441411""","Hispanic/Latino of any race","*"
"East Haven School District","D. C. Moore School","=""0441411""","White",7.9
"East Haven School District","Dominick H. Ferrara School","=""0441311""","American Indian or Alaska Native","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Asian","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Black or African American","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Hispanic/Latino of any race","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","Two or More Races","*"
"East Haven School District","Dominick H. Ferrara School","=""0441311""","White",8.3
"East Haven School District","East Haven High School","=""0446111""","American Indian or Alaska Native","*"
"East Haven School District","East Haven High School","=""0446111""","Asian",21.4
"East Haven School District","East Haven High School","=""0446111""","Black or African American","*"
"East Haven School District","East Haven High School","=""0446111""","Hispanic/Latino of any race",20.0
"East Haven School District","East Haven High School","=""0446111""","Two or More Races","*"
"East Haven School District","East Haven High School","=""0446111""","White",23.1
"East Haven School District","Overbrook Elementary School","=""0441811""","American Indian or Alaska Native","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Asian","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Black or African American","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Hispanic/Latino of any race","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","Two or More Races","*"
"East Haven School District","Overbrook Elementary School","=""0441811""","White",9.1
"East Haven School District","Deer Run School","=""0440111""","Asian","*"
"East Haven School District","Deer Run School","=""0440111""","Black or African American","*"
"East Haven School District","Deer Run School","=""0440111""","Hispanic/Latino of any race","*"
"East Haven School District","Deer Run School","=""0440111""","Two or More Races","*"
"East Haven School District","Deer Run School","=""0440111""","White",9.0
"East Haven School District","Grove J. Tuttle School","=""0441011""","Asian","*"
"East Haven School District","Grove J. Tuttle School","=""0441011""","Black or African American","*"
"East Haven School District","Grove J. Tuttle School","=""0441011""","Hispanic/Latino of any race",0.0
"East Haven School District","Grove J. Tuttle School","=""0441011""","Two or More Races","*"
"East Haven School District","Grove J. Tuttle School","=""0441011""","White","*"
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Asian",0.0
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Black or African American",0.0
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Hispanic/Latino of any race",0.0
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Native Hawaiian or Other Pacific Islander","*"
"East Haven School District","Joseph Melillo Middle School","=""0445111""","Two or More Races","*"
"East Haven School District","Joseph Melillo Middle School","=""0445111""","White",0.0
"East Haven School District","Momauguin School","=""0440711""","Asian","*"
"East Haven School District","Momauguin School","=""0440711""","Black or African American","*"
"East Haven School District","Momauguin School","=""0440711""","Hispanic/Latino of any race","*"
"East Haven School District","Momauguin School","=""0440711""","White",11.0
"East Haven School District","Pathways","=""0449011""","Black or African American","*"
"East Haven School District","Pathways","=""0449011""","Hispanic/Latino of any race","*"
"East Haven School District","Pathways","=""0449011""","White",47.6
"East Lyme School District","East Lyme High School","=""0456111""","American Indian or Alaska Native","*"
"East Lyme School District","East Lyme High School","=""0456111""","Asian","*"
"East Lyme School District","East Lyme High School","=""0456111""","Black or African American",0.0
"East Lyme School District","East Lyme High School","=""0456111""","Hispanic/Latino of any race","*"
"East Lyme School District","East Lyme High School","=""0456111""","Two or More Races","*"
"East Lyme School District","East Lyme High School","=""0456111""","White",5.1
"East Lyme School District","East Lyme Middle School","=""0455111""","American Indian or Alaska Native","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","Asian","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","Black or African American","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","Hispanic/Latino of any race","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","Native Hawaiian or Other Pacific Islander","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","Two or More Races","*"
"East Lyme School District","East Lyme Middle School","=""0455111""","White",7.2
"East Lyme School District","Lillie B. Haynes School","=""0450411""","American Indian or Alaska Native","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Asian","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Black or African American","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Hispanic/Latino of any race","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Native Hawaiian or Other Pacific Islander","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","Two or More Races","*"
"East Lyme School District","Lillie B. Haynes School","=""0450411""","White",4.5
"East Lyme School District","Flanders School","=""0450111""","Asian","*"
"East Lyme School District","Flanders School","=""0450111""","Black or African American","*"
"East Lyme School District","Flanders School","=""0450111""","Hispanic/Latino of any race","*"
"East Lyme School District","Flanders School","=""0450111""","Two or More Races","*"
"East Lyme School District","Flanders School","=""0450111""","White",2.1
"East Lyme School District","Niantic Center School","=""0450211""","Asian","*"
"East Lyme School District","Niantic Center School","=""0450211""","Black or African American","*"
"East Lyme School District","Niantic Center School","=""0450211""","Hispanic/Latino of any race","*"
"East Lyme School District","Niantic Center School","=""0450211""","Two or More Races","*"
"East Lyme School District","Niantic Center School","=""0450211""","White","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","American Indian or Alaska Native","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Asian","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Black or African American",20.5
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Hispanic/Latino of any race",23.0
"East Windsor School District","Broad Brook Elementary School","=""0470111""","Two or More Races","*"
"East Windsor School District","Broad Brook Elementary School","=""0470111""","White",7.3
"East Windsor School District","East Windsor High School","=""0476111""","Asian","*"
"East Windsor School District","East Windsor High School","=""0476111""","Black or African American","*"
"East Windsor School District","East Windsor High School","=""0476111""","Hispanic/Latino of any race","*"
"East Windsor School District","East Windsor High School","=""0476111""","Two or More Races","*"
"East Windsor School District","East Windsor High School","=""0476111""","White",9.7
"East Windsor School District","East Windsor Middle School","=""0475411""","Asian","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Black or African American",16.7
"East Windsor School District","East Windsor Middle School","=""0475411""","Hispanic/Latino of any race","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Two or More Races","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","White",8.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","American Indian or Alaska Native","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Asian","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Black or African American","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Hispanic/Latino of any race",0.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Two or More Races","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","White","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Asian","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Black or African American","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Hispanic/Latino of any race","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Two or More Races","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","White",0.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Black or African American","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Hispanic/Latino of any race","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Two or More Races","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","White",45.8
"Eastford School District","Eastford Elementary School","=""0390111""","American Indian or Alaska Native","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Asian","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Black or African American","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Hispanic/Latino of any race","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Two or More Races","*"
"Eastford School District","Eastford Elementary School","=""0390111""","White","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","American Indian or Alaska Native","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Asian","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Black or African American","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Hispanic/Latino of any race","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Native Hawaiian or Other Pacific Islander","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Two or More Races","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","White",2.4
"Easton School District","Helen Keller Middle School","=""0465111""","Asian","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Black or African American","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Hispanic/Latino of any race","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Two or More Races","*"
"Easton School District","Helen Keller Middle School","=""0465111""","White","*"
"Education Connection","Education Connection Special Education","=""2429014""","Black or African American","*"
"Education Connection","Education Connection Special Education","=""2429014""","Hispanic/Latino of any race","*"
"Education Connection","Education Connection Special Education","=""2429014""","Two or More Races","*"
"Education Connection","Education Connection Special Education","=""2429014""","White","*"
"Ellington School District","Center School","=""0480111""","Asian","*"
"Ellington School District","Center School","=""0480111""","Black or African American","*"
"Ellington School District","Center School","=""0480111""","Hispanic/Latino of any race","*"
"Ellington School District","Center School","=""0480111""","Two or More Races","*"
"Ellington School District","Center School","=""0480111""","White",2.3
"Ellington School District","Ellington High School","=""0486111""","American Indian or Alaska Native","*"
"Ellington School District","Ellington High School","=""0486111""","Asian","*"
"Ellington School District","Ellington High School","=""0486111""","Black or African American","*"
"Ellington School District","Ellington High School","=""0486111""","Hispanic/Latino of any race","*"
"Ellington School District","Ellington High School","=""0486111""","Two or More Races","*"
"Ellington School District","Ellington High School","=""0486111""","White",3.7
"Ellington School District","Windermere School","=""0480611""","American Indian or Alaska Native","*"
"Ellington School District","Windermere School","=""0480611""","Asian","*"
"Ellington School District","Windermere School","=""0480611""","Black or African American","*"
"Ellington School District","Windermere School","=""0480611""","Hispanic/Latino of any race","*"
"Ellington School District","Windermere School","=""0480611""","Two or More Races","*"
"Ellington School District","Windermere School","=""0480611""","White",3.4
"Ellington School District","Crystal Lake School","=""0480211""","Asian","*"
"Ellington School District","Crystal Lake School","=""0480211""","Black or African American","*"
"Ellington School District","Crystal Lake School","=""0480211""","Hispanic/Latino of any race","*"
"Ellington School District","Crystal Lake School","=""0480211""","Two or More Races","*"
"Ellington School District","Crystal Lake School","=""0480211""","White","*"
"Ellington School District","Ellington Middle School","=""0485111""","Asian","*"
"Ellington School District","Ellington Middle School","=""0485111""","Black or African American","*"
"Ellington School District","Ellington Middle School","=""0485111""","Hispanic/Latino of any race","*"
"Ellington School District","Ellington Middle School","=""0485111""","Two or More Races","*"
"Ellington School District","Ellington Middle School","=""0485111""","White",4.7
"Ellington School District","Windermere Intermediate School","=""0480711""","Asian","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Black or African American","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Hispanic/Latino of any race","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Two or More Races","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","White",3.2
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","American Indian or Alaska Native","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Asian","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Black or African American",4.6
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Hispanic/Latino of any race","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Two or More Races","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","White","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","American Indian or Alaska Native","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Asian","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Black or African American","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Hispanic/Latino of any race","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Native Hawaiian or Other Pacific Islander","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Two or More Races","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","White",7.1
"Enfield School District","Eli Whitney School","=""0491611""","American Indian or Alaska Native","*"
"Enfield School District","Eli Whitney School","=""0491611""","Asian","*"
"Enfield School District","Eli Whitney School","=""0491611""","Black or African American","*"
"Enfield School District","Eli Whitney School","=""0491611""","Hispanic/Latino of any race",15.0
"Enfield School District","Eli Whitney School","=""0491611""","Two or More Races","*"
"Enfield School District","Eli Whitney School","=""0491611""","White",5.5
"Enfield School District","Enfield High School","=""0496111""","American Indian or Alaska Native","*"
"Enfield School District","Enfield High School","=""0496111""","Asian","*"
"Enfield School District","Enfield High School","=""0496111""","Black or African American",17.3
"Enfield School District","Enfield High School","=""0496111""","Hispanic/Latino of any race",9.7
"Enfield School District","Enfield High School","=""0496111""","Two or More Races","*"
"Enfield School District","Enfield High School","=""0496111""","White",13.6
"Enfield School District","Enrico Fermi High School","=""0496211""","American Indian or Alaska Native","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Asian","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Black or African American","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Hispanic/Latino of any race",12.3
"Enfield School District","Enrico Fermi High School","=""0496211""","Two or More Races","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","White",11.1
"Enfield School District","Hazardville Memorial School","=""0490411""","American Indian or Alaska Native","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Asian","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Black or African American","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Hispanic/Latino of any race",20.4
"Enfield School District","Hazardville Memorial School","=""0490411""","Two or More Races","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","White",7.2
"Enfield School District","John F. Kennedy Middle School","=""0495211""","American Indian or Alaska Native","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Asian","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Black or African American",22.2
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Hispanic/Latino of any race",20.7
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Native Hawaiian or Other Pacific Islander","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Two or More Races",11.5
"Enfield School District","John F. Kennedy Middle School","=""0495211""","White",16.6
"Enfield School District","Prudence Crandall School","=""0491511""","American Indian or Alaska Native","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Asian","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Black or African American","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Hispanic/Latino of any race",11.8
"Enfield School District","Prudence Crandall School","=""0491511""","Native Hawaiian or Other Pacific Islander","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Two or More Races","*"
"Enfield School District","Prudence Crandall School","=""0491511""","White",5.7
"Enfield School District","Enfield Street School","=""0490211""","Asian","*"
"Enfield School District","Enfield Street School","=""0490211""","Black or African American","*"
"Enfield School District","Enfield Street School","=""0490211""","Hispanic/Latino of any race",17.8
"Enfield School District","Enfield Street School","=""0490211""","Two or More Races","*"
"Enfield School District","Enfield Street School","=""0490211""","White",12.5
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Asian","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Two or More Races","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","White","*"
"Enfield School District","Henry Barnard School","=""0491811""","Asian","*"
"Enfield School District","Henry Barnard School","=""0491811""","Black or African American","*"
"Enfield School District","Henry Barnard School","=""0491811""","Hispanic/Latino of any race","*"
"Enfield School District","Henry Barnard School","=""0491811""","Two or More Races","*"
"Enfield School District","Henry Barnard School","=""0491811""","White",8.3
"Enfield School District","Nathan Hale School","=""0491111""","Asian","*"
"Enfield School District","Nathan Hale School","=""0491111""","Black or African American","*"
"Enfield School District","Nathan Hale School","=""0491111""","Hispanic/Latino of any race","*"
