"Chronic Absenteeism, 2012-13"
", All Schools, Grade"

"District","District Code","School","School Code","Grade","% Chronically Absent"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Grade   5","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Grade   6","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Kindergarten","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Grade   1",26.3
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Grade   2","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Grade   3","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Grade   4",13.3
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Grade   5","*"
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Grade   6","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Kindergarten",35.6
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Grade   1","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Grade   2",16.1
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Grade   3",11.3
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Grade   4","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Grade   5",8.0
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Grade   6",10.2
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Kindergarten",26.4
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Grade   1",22.9
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Grade   2",21.6
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Grade   3","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Grade   4",24.0
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Grade   5","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Grade   9",79.2
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Grade 10",54.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Grade 11",69.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Grade 12",31.7
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Grade   4","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Grade   5",8.0
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Grade   6","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Kindergarten","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   1","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   2","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   3","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   4","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   5","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   6","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   7",47.8
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   8",66.7
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade   9",81.8
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade 10",76.9
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade 11",78.3
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Grade 12","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Grade   3","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Grade   4","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Grade   5","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Grade   6","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Grade   7","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Grade   8","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Kindergarten","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Grade   1","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Grade   2","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Kindergarten","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Grade   1",9.9
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Grade   2","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Grade   3","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Grade   4","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Grade   5",12.7
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Grade   9",26.4
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Grade 10",22.4
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Grade 11",23.8
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Grade 12",32.2
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Grade   3","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Grade   4","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Grade   5","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Grade   6",10.7
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Grade   7",19.5
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Grade   8",19.0
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Grade   3","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Grade   4","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Grade   5",14.8
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Kindergarten",15.2
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Grade   1","*"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Grade   2","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Grade   6","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Grade   7","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Grade   8","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Grade   9","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Grade 10","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Grade 11","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Grade 12","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Grade   9",3.9
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Grade 10",3.6
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Grade 11",5.6
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Grade 12",5.1
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Grade   5","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Grade   6","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Grade   7",9.9
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Grade   8",7.7
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Kindergarten","*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Grade   1","*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Grade   2","*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Grade   3","*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Grade   4","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Kindergarten","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Grade   1","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Grade   2","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Grade   3","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Grade   4","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Kindergarten",0.0
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Grade   1",0.0
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Grade   2","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Grade   3","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Grade   4",0.0
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Kindergarten",16.3
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Grade   1","*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Grade   2","*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Grade   3",9.2
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Grade   4",7.0
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Grade   8","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Grade   9","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Grade 10",11.8
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Grade 11","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Grade 12",11.9
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Grade   5",11.8
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Grade   6",13.4
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Grade   7",13.6
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Grade   8",9.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Adolescent Principal Referred Expulsion Program","=""2539214""","Grade   6","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Adolescent Principal Referred Expulsion Program","=""2539214""","Grade   7","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Adolescent Principal Referred Expulsion Program","=""2539214""","Grade   8","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Adolescent Principal Referred Expulsion Program","=""2539214""","Grade 10","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade   9",14.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade 10",83.9
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade 11",83.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Grade 12",95.8
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Kindergarten","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   1","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   2","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   3","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   4","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   5","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   6","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   7","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   8","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade   9","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade 10","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade 11","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Grade 12","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Grade 10",100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Grade 11",100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Grade 12",100.0
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Kindergarten","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   1","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   2","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   3","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   4","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   5","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   6","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   7","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Grade   8","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Grade   6","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Grade   7","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Grade   8","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Kindergarten","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Grade   1","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Grade   2","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Grade   3",6.2
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Grade   4","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Grade   5","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade   2","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade   4","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade   5","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade   6","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade   7","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade   8","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade   9","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade 10","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade 11","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Grade 12","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Kindergarten","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Grade   1","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Grade   2","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Grade   3","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Grade   4","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Kindergarten","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Grade   1","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Grade   2",0.0
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Grade   3","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Grade   4",0.0
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Grade   9",8.5
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Grade 10",6.3
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Grade 11",5.9
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Grade 12",6.5
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Grade   7",7.8
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Grade   8",5.7
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Grade   5",3.3
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Grade   6",4.2
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Kindergarten","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Grade   1",12.9
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Grade   2","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Grade   3","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Grade   4",13.4
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Kindergarten","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   1","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   2","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   3",0.0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   4",0.0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   5","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   6","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   7","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   8",0.0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade   9","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade 10","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade 11",0.0
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Grade 12","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Grade   3","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Grade   4",7.7
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Grade   5","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Grade   6","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Grade   3",5.4
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Grade   4",6.1
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Grade   5",8.6
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Grade   9",19.2
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Grade 10",16.5
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Grade 11",13.3
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Grade 12",13.7
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Kindergarten","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Grade   1",11.7
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Grade   2",7.8
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Grade   3","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Grade 12","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Grade   9",13.9
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Grade 10",10.2
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Grade 11",15.6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Grade 12",13.8
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Kindergarten",18.7
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Grade   1","*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Grade   2","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Kindergarten",13.1
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Grade   1","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Grade   2","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Grade   6",9.7
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Grade   7",14.6
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Grade   8",17.9
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Kindergarten",12.7
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Grade   1","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Grade   2","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Grade   6","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Kindergarten","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Grade   1","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Grade   2","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Grade   3",5.1
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Grade   4",4.2
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Grade   5",7.7
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Kindergarten","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Grade   1","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Grade   2",0.0
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Grade   3",0.0
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Grade   4","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Grade   5","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Grade   6","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Grade   9","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Grade 10","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Grade 11","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Grade 12",50.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Kindergarten",0.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Grade   1",0.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Grade   2",0.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Grade   3",0.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Grade   4","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Grade   5",0.0
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Kindergarten",0.0
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Grade   1",0.0
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Grade   2","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Grade   3",0.0
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Grade   4",0.0
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Grade   5",0.0
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Grade   9",6.7
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Grade 10",4.6
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Grade 11",7.9
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Grade 12",6.7
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Grade   9",6.4
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Grade 10",4.3
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Grade 11",6.2
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Grade 12",7.1
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Grade   6",4.0
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Grade   7",7.0
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Grade   8",4.7
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Kindergarten","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Grade   1","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Grade   2","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Grade   3","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Grade   4",0.0
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Grade   5",0.0
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Kindergarten",0.0
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Grade   1",0.0
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Grade   2",0.0
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Grade   3",0.0
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Grade   4",0.0
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Grade   5",0.0
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Kindergarten",0.0
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Grade   1","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Grade   2","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Grade   3","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Grade   4","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Grade   5",0.0
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Kindergarten","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Grade   1",0.0
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Grade   2",0.0
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Grade   3","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Grade   4",0.0
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Grade   5",0.0
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Kindergarten","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Grade   1",0.0
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Grade   2",0.0
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Grade   3","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Grade   4","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Grade   5","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Kindergarten",0.0
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Grade   1",0.0
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Grade   2",0.0
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Grade   3","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Grade   4",0.0
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Grade   5","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Kindergarten","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Grade   1",0.0
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Grade   2",0.0
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Grade   3",0.0
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Grade   4",0.0
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Grade   5",0.0
