"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","Special Education",0.0
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","Non-Special Education","*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","Special Education","*"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","Non-Special Education","*"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","Special Education","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Non-Special Education",9.0
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Special Education",25.5
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","Non-Special Education",4.8
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","Special Education",12.5
"East Hampton School District","=""0420011""","Center School","=""0420311""","Non-Special Education",2.9
"East Hampton School District","=""0420011""","Center School","=""0420311""","Special Education","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Non-Special Education","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Special Education","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","Non-Special Education","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","Special Education","*"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","Non-Special Education",4.6
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","Special Education",13.3
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Non-Special Education","*"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Special Education","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Non-Special Education",10.8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Special Education",23.7
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Non-Special Education","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Special Education","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Non-Special Education",10.7
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Special Education",16.7
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Non-Special Education","*"
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Special Education","*"
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Non-Special Education",3.4
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Special Education",0.0
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Non-Special Education",18.6
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Special Education",30.2
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Non-Special Education",5.7
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Special Education",12.7
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Non-Special Education",4.9
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Special Education",18.2
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Non-Special Education",14.9
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Special Education",22.7
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Non-Special Education",5.7
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Special Education",10.2
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Non-Special Education",3.6
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Special Education",12.3
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Non-Special Education","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Special Education","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Non-Special Education",12.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Special Education",16.2
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Non-Special Education","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Special Education","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Non-Special Education","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Special Education","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Non-Special Education","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Special Education","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Non-Special Education","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Special Education","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Non-Special Education","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Special Education","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Non-Special Education","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Special Education","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Non-Special Education",27.1
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Special Education",37.9
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Non-Special Education","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Special Education","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Non-Special Education",15.1
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Special Education",31.6
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Non-Special Education",15.7
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Special Education",27.3
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Non-Special Education","*"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Special Education","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Non-Special Education","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Special Education","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Non-Special Education",7.1
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Special Education",16.4
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Non-Special Education",3.4
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Special Education",16.5
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Non-Special Education","*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Special Education","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Non-Special Education","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Special Education","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Non-Special Education","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Special Education","*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Non-Special Education",10.1
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Special Education",15.1
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Non-Special Education",12.0
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Special Education",29.4
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Non-Special Education",9.1
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Special Education",13.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Non-Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Special Education",31.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Non-Special Education","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Special Education","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Non-Special Education","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Special Education","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Non-Special Education","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Special Education","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Non-Special Education","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Special Education","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Special Education",50.0
"Ellington School District","=""0480011""","Center School","=""0480111""","Non-Special Education",3.1
"Ellington School District","=""0480011""","Center School","=""0480111""","Special Education","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Non-Special Education","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Special Education","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Non-Special Education",3.5
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Special Education",13.3
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Non-Special Education",7.1
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Special Education",17.9
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Non-Special Education","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Special Education","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Non-Special Education","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Special Education","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Non-Special Education","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Special Education","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Non-Special Education","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Special Education","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Non-Special Education",9.2
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Special Education","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Non-Special Education",14.7
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Special Education",32.3
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Non-Special Education","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Special Education","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Special Education","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Non-Special Education",9.4
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Special Education",33.6
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Non-Special Education",10.0
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Special Education",17.0
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Non-Special Education","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Special Education","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Non-Special Education",13.3
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Special Education",20.4
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Non-Special Education",5.0
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Special Education","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Non-Special Education",7.1
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Special Education",10.0
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Non-Special Education","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Special Education","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Non-Special Education","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Special Education","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Special Education","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Special Education","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Non-Special Education",6.6
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Special Education",13.9
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Non-Special Education",6.7
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Special Education",15.1
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Non-Special Education",5.3
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Special Education",7.3
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Special Education","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Special Education","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Non-Special Education",7.3
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Special Education",10.9
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Special Education","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Non-Special Education","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Special Education","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Special Education","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Special Education","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Non-Special Education",7.0
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Special Education",15.7
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Non-Special Education",2.1
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Special Education","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Non-Special Education","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Special Education","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Non-Special Education",7.5
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Special Education",10.8
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Non-Special Education","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Special Education","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Non-Special Education",7.2
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Special Education",16.4
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Non-Special Education",4.6
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Special Education",15.5
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Non-Special Education","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Special Education","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Non-Special Education","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Special Education","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Non-Special Education","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Special Education","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Non-Special Education",3.4
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Special Education",12.5
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Non-Special Education","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Special Education","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Non-Special Education","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Special Education","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Non-Special Education",2.3
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Special Education",0.0
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Non-Special Education","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Special Education","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Non-Special Education",3.2
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Special Education",15.8
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Non-Special Education","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Special Education","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Non-Special Education",2.3
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Special Education",0.0
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Non-Special Education","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Special Education","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Non-Special Education",2.9
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Special Education",0.0
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Non-Special Education",2.9
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Special Education",12.9
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Non-Special Education","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Special Education","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Non-Special Education",3.6
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Special Education",11.1
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Non-Special Education","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Special Education","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Non-Special Education",2.7
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Special Education",0.0
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Non-Special Education","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Special Education","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Non-Special Education",6.9
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Special Education",15.4
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Non-Special Education","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Special Education","*"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Non-Special Education",4.9
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Special Education",11.5
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Non-Special Education","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Special Education","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Non-Special Education",5.6
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Special Education",11.6
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Non-Special Education",6.2
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Special Education",15.9
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Non-Special Education","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Special Education","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Non-Special Education","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Special Education","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Non-Special Education","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Special Education","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Non-Special Education","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Special Education","*"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Non-Special Education",3.0
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Special Education","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Non-Special Education","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Special Education","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Non-Special Education","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Special Education","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Non-Special Education","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Special Education","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Non-Special Education",7.1
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Special Education",10.0
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Non-Special Education",6.1
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Special Education",11.0
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Non-Special Education",14.7
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Special Education",30.7
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Non-Special Education",9.9
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Special Education",14.5
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Non-Special Education","*"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Special Education","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""","Non-Special Education",22.9
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""","Special Education",30.8
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Non-Special Education",22.9
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Special Education",30.8
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Non-Special Education","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Special Education","*"
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""","Non-Special Education",9.1
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""","Special Education",17.5
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Non-Special Education",7.9
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Special Education",10.9
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Non-Special Education","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Special Education","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Non-Special Education",10.3
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Special Education",17.9
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Non-Special Education",22.4
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Special Education",41.3
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Non-Special Education",3.4
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Special Education",22.6
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Non-Special Education",10.4
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Special Education",21.7
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Non-Special Education",3.6
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Special Education",12.1
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Non-Special Education","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Special Education","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Non-Special Education","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Special Education","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Non-Special Education",6.6
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Special Education",17.9
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Non-Special Education",7.8
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Special Education",26.8
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Non-Special Education","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Special Education","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Non-Special Education","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Special Education","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Non-Special Education","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Special Education","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Non-Special Education","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Special Education","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Non-Special Education",7.0
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Special Education",17.6
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Non-Special Education",18.2
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Special Education",26.7
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Non-Special Education",13.5
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Special Education",22.0
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Non-Special Education","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Special Education","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Non-Special Education",12.9
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Special Education",23.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Non-Special Education","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Special Education","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Non-Special Education","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Special Education","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Non-Special Education",4.6
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Special Education",10.7
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Non-Special Education","*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Special Education","*"
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Non-Special Education",25.5
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Special Education",40.4
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Non-Special Education",14.5
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Special Education",28.1
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Non-Special Education","*"
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Special Education","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Non-Special Education","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Special Education","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Non-Special Education",45.7
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Special Education",54.8
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Non-Special Education",48.9
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Special Education",41.7
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Non-Special Education",47.5
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Special Education",59.1
"Hartford School District","=""0640011""","Burr School","=""0642311""","Non-Special Education",23.1
"Hartford School District","=""0640011""","Burr School","=""0642311""","Special Education",39.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Non-Special Education","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Special Education","*"
"Hartford School District","=""0640011""","Clark School","=""0642411""","Non-Special Education",40.4
"Hartford School District","=""0640011""","Clark School","=""0642411""","Special Education",38.4
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Non-Special Education","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Special Education","*"
