"Chronic Absenteeism, Trend"
"State of Connecticut, All Schools, Race/Ethnicity"

"",,,,"% Chronically Absent",,,,
"East Windsor School District","East Windsor Middle School","=""0475411""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"East Windsor School District","East Windsor Middle School","=""0475411""","Asian","*","*","*","*","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Black or African American","*",22.9,16.7,"*","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","Hispanic/Latino of any race","*","*","*","*",19.1
"East Windsor School District","East Windsor Middle School","=""0475411""","Two or More Races","*","*","*","*","*"
"East Windsor School District","East Windsor Middle School","=""0475411""","White",10.9,12.1,8.7,10.4,5.9
"East Windsor School District","East Windsor High School","=""0476111""","Asian","*","*","*","*","*"
"East Windsor School District","East Windsor High School","=""0476111""","Black or African American",16.9,"*","*",12.5,"*"
"East Windsor School District","East Windsor High School","=""0476111""","Hispanic/Latino of any race","*","*","*","*",20.0
"East Windsor School District","East Windsor High School","=""0476111""","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A"
"East Windsor School District","East Windsor High School","=""0476111""","Two or More Races","*","*","*","*","*"
"East Windsor School District","East Windsor High School","=""0476111""","White",13.6,9.0,9.7,14.9,15.3
"East Windsor School District","East Windsor Transition Program","=""0470411""","Black or African American","N/A","N/A","N/A","N/A","*"
"East Windsor School District","East Windsor Transition Program","=""0470411""","White","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","American Indian or Alaska Native","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Asian","N/A","N/A","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Black or African American","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Hispanic/Latino of any race","*",71.4,0.0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Two or More Races","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","White",23.5,63.4,"*",8.5,7.2
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","American Indian or Alaska Native","*","*","N/A","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Asian","*","*","N/A","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Black or African American","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Hispanic/Latino of any race","*","*","*",57.7,58.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","Two or More Races","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","=""2536114""","White","*",100.0,45.8,54.2,57.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Asian","N/A","N/A","*","*","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Black or African American","*","*","*","*","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Hispanic/Latino of any race","*","*","*","*","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","Two or More Races","*","*","*","*","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","=""2539014""","White",31.7,50.0,0.0,27.0,"N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Adolescent Principal Referred Expulsion Program","=""2539214""","Black or African American","N/A","*","N/A","N/A","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Adolescent Principal Referred Expulsion Program","=""2539214""","Hispanic/Latino of any race","N/A","*","N/A","N/A","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Adolescent Principal Referred Expulsion Program","=""2539214""","White","N/A","*","N/A","N/A","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","American Indian or Alaska Native","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Asian","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Black or African American","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Hispanic/Latino of any race","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","Two or More Races","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","=""2539014""","White","N/A","N/A","N/A","N/A",26.8
"Eastford School District","Eastford Elementary School","=""0390111""","American Indian or Alaska Native","*","*","*","*","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Asian","*","*","*","*","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Black or African American","*","*","*","N/A","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Hispanic/Latino of any race","*","*","*","*","*"
"Eastford School District","Eastford Elementary School","=""0390111""","Two or More Races","*","*","*","*","*"
"Eastford School District","Eastford Elementary School","=""0390111""","White","*","*","*","*","*"
"Easton School District","Helen Keller Middle School","=""0465111""","American Indian or Alaska Native","*","*","N/A","*","N/A"
"Easton School District","Helen Keller Middle School","=""0465111""","Asian","*","*","*","*","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Black or African American","*","*","*","*","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Hispanic/Latino of any race",0.0,"*","*","*","*"
"Easton School District","Helen Keller Middle School","=""0465111""","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A"
"Easton School District","Helen Keller Middle School","=""0465111""","Two or More Races","*","*","*","*","*"
"Easton School District","Helen Keller Middle School","=""0465111""","White","*","*","*",3.1,2.6
"Easton School District","Samuel Staples Elementary School","=""0460111""","American Indian or Alaska Native","*","*","*","*","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Asian","*","*","*","*",0.0
"Easton School District","Samuel Staples Elementary School","=""0460111""","Black or African American","*","*","*","*","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Hispanic/Latino of any race","*","*","*",0.0,0.0
"Easton School District","Samuel Staples Elementary School","=""0460111""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","Two or More Races","*","*","*","*","*"
"Easton School District","Samuel Staples Elementary School","=""0460111""","White",3.8,3.1,2.4,"*",1.6
"Education Connection","Education Connection Special Education","=""2429014""","American Indian or Alaska Native","*","N/A","N/A","N/A","N/A"
"Education Connection","Education Connection Special Education","=""2429014""","Black or African American","*","*","*","*","N/A"
"Education Connection","Education Connection Special Education","=""2429014""","Hispanic/Latino of any race","*","*","*","*","N/A"
"Education Connection","Education Connection Special Education","=""2429014""","Two or More Races","N/A","N/A","*","*","N/A"
"Education Connection","Education Connection Special Education","=""2429014""","White","*","*","*","*","N/A"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Black or African American","N/A","N/A","N/A","N/A","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Hispanic/Latino of any race","N/A","N/A","N/A","N/A","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Two or More Races","N/A","N/A","N/A","N/A","*"
"Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","White","N/A","N/A","N/A","N/A","*"
"Ellington School District","Center School","=""0480111""","Asian","*","*","*","*","*"
"Ellington School District","Center School","=""0480111""","Black or African American","*","*","*","*","*"
"Ellington School District","Center School","=""0480111""","Hispanic/Latino of any race","*","*","*","*","*"
"Ellington School District","Center School","=""0480111""","Two or More Races","*","*","*","*","*"
"Ellington School District","Center School","=""0480111""","White",1.7,2.4,2.3,3.6,"*"
"Ellington School District","Ellington Middle School","=""0485111""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Ellington School District","Ellington Middle School","=""0485111""","Asian","*","*","*","*","*"
"Ellington School District","Ellington Middle School","=""0485111""","Black or African American","*","*","*","*","*"
"Ellington School District","Ellington Middle School","=""0485111""","Hispanic/Latino of any race","*",0.0,"*","*","*"
"Ellington School District","Ellington Middle School","=""0485111""","Two or More Races","*","*","*","*","*"
"Ellington School District","Ellington Middle School","=""0485111""","White",7.8,6.5,4.7,8.5,5.1
"Ellington School District","Windermere School","=""0480611""","American Indian or Alaska Native","*","*","*","*","*"
"Ellington School District","Windermere School","=""0480611""","Asian","*",15.9,"*",11.9,9.1
"Ellington School District","Windermere School","=""0480611""","Black or African American","*","*","*","*","*"
"Ellington School District","Windermere School","=""0480611""","Hispanic/Latino of any race","*",25.9,"*","*","*"
"Ellington School District","Windermere School","=""0480611""","Two or More Races","*","*","*","*","*"
"Ellington School District","Windermere School","=""0480611""","White",1.9,4.5,3.4,3.7,2.8
"Ellington School District","Crystal Lake School","=""0480211""","Asian","*","*","*","*","*"
"Ellington School District","Crystal Lake School","=""0480211""","Black or African American","*","*","*","*","*"
"Ellington School District","Crystal Lake School","=""0480211""","Hispanic/Latino of any race","*","*","*","*","*"
"Ellington School District","Crystal Lake School","=""0480211""","Two or More Races","*","*","*","*","*"
"Ellington School District","Crystal Lake School","=""0480211""","White","*","*","*","*","*"
"Ellington School District","Ellington High School","=""0486111""","American Indian or Alaska Native","N/A","*","*","*","*"
"Ellington School District","Ellington High School","=""0486111""","Asian",0.0,"*","*",0.0,"*"
"Ellington School District","Ellington High School","=""0486111""","Black or African American","*","*","*",0.0,"*"
"Ellington School District","Ellington High School","=""0486111""","Hispanic/Latino of any race","*",21.2,"*","*","*"
"Ellington School District","Ellington High School","=""0486111""","Two or More Races","*","*","*","*","*"
"Ellington School District","Ellington High School","=""0486111""","White",3.3,5.6,3.7,3.4,5.0
"Ellington School District","Windermere Intermediate School","=""0480711""","Asian",0.0,0.0,"*",0.0,0.0
"Ellington School District","Windermere Intermediate School","=""0480711""","Black or African American","*","*","*","*","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Hispanic/Latino of any race","*","*","*","*","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","Two or More Races","*","*","*","*","*"
"Ellington School District","Windermere Intermediate School","=""0480711""","White",3.2,3.3,3.2,"*",4.1
"Ellington School District","Windermere School Program for Alternative Learning K-4","=""0480311""","White","N/A","N/A","N/A","N/A","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","American Indian or Alaska Native","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Asian","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Black or African American","*",3.7,4.6,4.8,6.2
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Hispanic/Latino of any race","*","*","*","*",5.0
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","Two or More Races","*","*","*","*","*"
"Elm City College Preparatory School District","Elm City College Preparatory School","=""2890113""","White","*","*","*","*","*"
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","Black or African American","N/A","N/A","N/A","*","*"
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","Two or More Races","N/A","N/A","N/A","N/A","*"
"Elm City Montessori School District","Elm City Montessori School","=""2910113""","White","N/A","N/A","N/A","*","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","American Indian or Alaska Native","*","*","*","*","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Asian","*","*","*","*","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Black or African American","*","*","*","*","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Hispanic/Latino of any race","*","*","*","*","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","Two or More Races","*","*","*","*","*"
"Enfield School District","Edgar H. Parkman School","=""0491311""","White",5.0,3.8,7.1,6.0,4.6
"Enfield School District","Enfield High School","=""0496111""","American Indian or Alaska Native","*","*","*","*","*"
"Enfield School District","Enfield High School","=""0496111""","Asian","*","*","*","*","*"
"Enfield School District","Enfield High School","=""0496111""","Black or African American",16.7,18.9,17.3,13.7,14.8
"Enfield School District","Enfield High School","=""0496111""","Hispanic/Latino of any race",25.0,19.3,9.7,17.8,23.5
"Enfield School District","Enfield High School","=""0496111""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*"
"Enfield School District","Enfield High School","=""0496111""","Two or More Races","*","*","*",25.0,"*"
"Enfield School District","Enfield High School","=""0496111""","White",15.1,15.1,13.6,17.4,16.8
"Enfield School District","Enfield Street School","=""0490211""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Enfield School District","Enfield Street School","=""0490211""","Asian","*","*","*","*","*"
"Enfield School District","Enfield Street School","=""0490211""","Black or African American","*","*","*","*","*"
"Enfield School District","Enfield Street School","=""0490211""","Hispanic/Latino of any race","*","*",17.8,14.3,"*"
"Enfield School District","Enfield Street School","=""0490211""","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A"
"Enfield School District","Enfield Street School","=""0490211""","Two or More Races","*","*","*","*","*"
"Enfield School District","Enfield Street School","=""0490211""","White",10.2,10.0,12.5,7.7,6.4
"Enfield School District","Enrico Fermi High School","=""0496211""","American Indian or Alaska Native","*","*","*","*","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Asian","*","*","*","*","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Black or African American","*",13.7,"*",12.5,"*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Hispanic/Latino of any race",16.4,16.4,12.3,13.8,20.3
"Enfield School District","Enrico Fermi High School","=""0496211""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","*","*"
"Enfield School District","Enrico Fermi High School","=""0496211""","Two or More Races",0.0,"*","*","*",17.5
"Enfield School District","Enrico Fermi High School","=""0496211""","White",13.0,13.6,11.1,13.4,13.8
"Enfield School District","Hazardville Memorial School","=""0490411""","American Indian or Alaska Native","*","*","*","*","N/A"
"Enfield School District","Hazardville Memorial School","=""0490411""","Asian","*","*","*","*","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Black or African American",45.0,"*","*","*","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Hispanic/Latino of any race",10.9,16.7,20.4,"*","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","Two or More Races","*","*","*","*","*"
"Enfield School District","Hazardville Memorial School","=""0490411""","White",7.3,8.1,7.2,6.3,10.2
"Enfield School District","Henry Barnard School","=""0491811""","American Indian or Alaska Native","*","*","N/A","N/A","*"
"Enfield School District","Henry Barnard School","=""0491811""","Asian","*","*","*","*","*"
"Enfield School District","Henry Barnard School","=""0491811""","Black or African American","*","*","*","*","*"
"Enfield School District","Henry Barnard School","=""0491811""","Hispanic/Latino of any race",20.9,"*","*","*",14.8
"Enfield School District","Henry Barnard School","=""0491811""","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A"
"Enfield School District","Henry Barnard School","=""0491811""","Two or More Races","*","*","*","*","*"
"Enfield School District","Henry Barnard School","=""0491811""","White",8.3,6.2,8.3,7.7,9.5
"Enfield School District","John F. Kennedy Middle School","=""0495211""","American Indian or Alaska Native","*","*","*","*","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Asian","*",19.4,"*",21.4,"*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Black or African American",11.3,20.5,22.2,16.2,27.6
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Hispanic/Latino of any race",13.8,19.1,20.7,20.4,16.8
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Native Hawaiian or Other Pacific Islander","*","*","*","*","*"
"Enfield School District","John F. Kennedy Middle School","=""0495211""","Two or More Races","*",11.1,11.5,18.0,19.0
"Enfield School District","John F. Kennedy Middle School","=""0495211""","White",14.9,13.1,16.6,14.7,13.4
"Enfield School District","Nathan Hale School","=""0491111""","American Indian or Alaska Native","*","*","N/A","N/A","*"
"Enfield School District","Nathan Hale School","=""0491111""","Asian","*","*","*","*","*"
"Enfield School District","Nathan Hale School","=""0491111""","Black or African American","*","*","*","*","*"
"Enfield School District","Nathan Hale School","=""0491111""","Hispanic/Latino of any race","*","*","*","*","*"
"Enfield School District","Nathan Hale School","=""0491111""","Two or More Races","*","*","*","*","*"
"Enfield School District","Nathan Hale School","=""0491111""","White",5.6,7.0,8.6,7.2,3.3
"Enfield School District","Prudence Crandall School","=""0491511""","American Indian or Alaska Native","*","N/A","*","*","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Asian","*","*","*","*","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Black or African American","*","*","*","*","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Hispanic/Latino of any race","*","*",11.8,"*",10.7
"Enfield School District","Prudence Crandall School","=""0491511""","Native Hawaiian or Other Pacific Islander","N/A","N/A","*","*","*"
"Enfield School District","Prudence Crandall School","=""0491511""","Two or More Races","*","*","*","*","*"
"Enfield School District","Prudence Crandall School","=""0491511""","White",7.6,5.2,5.7,4.1,5.0
"Enfield School District","Eli Whitney School","=""0491611""","American Indian or Alaska Native","N/A","*","*","*","*"
"Enfield School District","Eli Whitney School","=""0491611""","Asian","*","*","*","*","*"
"Enfield School District","Eli Whitney School","=""0491611""","Black or African American","*","*","*","*","*"
"Enfield School District","Eli Whitney School","=""0491611""","Hispanic/Latino of any race","*","*",15.0,"*",13.3
"Enfield School District","Eli Whitney School","=""0491611""","Native Hawaiian or Other Pacific Islander","*","N/A","N/A","N/A","N/A"
"Enfield School District","Eli Whitney School","=""0491611""","Two or More Races","*","*","*","*","*"
"Enfield School District","Eli Whitney School","=""0491611""","White",8.6,6.6,5.5,3.2,4.3
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Asian","N/A","*","*","N/A","N/A"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Black or African American","*","*","N/A","N/A","*"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","Two or More Races","*","*","*","*","N/A"
"Enfield School District","Enfield Transitional Learning Academy","=""0499011""","White","*","*","*","*","*"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Asian","N/A","N/A","N/A","*","N/A"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","White","N/A","N/A","N/A","*","*"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Asian","N/A","N/A","N/A","*","N/A"
"Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","White","N/A","N/A","N/A","*","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Hispanic/Latino of any race","N/A","N/A","N/A","*","*"
"Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","White","N/A","N/A","N/A","*","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Hispanic/Latino of any race","N/A","N/A","N/A","N/A","*"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Two or More Races","N/A","N/A","N/A","*","N/A"
"Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","White","N/A","N/A","N/A","*","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Black or African American","N/A","N/A","N/A","N/A","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Two or More Races","N/A","N/A","N/A","*","*"
"Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","White","N/A","N/A","N/A","*","*"
"Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","Asian","N/A","N/A","N/A","N/A","*"
"Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","White","N/A","N/A","N/A","N/A","*"
"Essex School District","Essex Elementary School","=""0500111""","Asian","*","*","*","*","*"
"Essex School District","Essex Elementary School","=""0500111""","Black or African American","*","*","*","*","*"
"Essex School District","Essex Elementary School","=""0500111""","Hispanic/Latino of any race","*","*","*","*","*"
"Essex School District","Essex Elementary School","=""0500111""","Two or More Races","*","*","*","*","*"
"Essex School District","Essex Elementary School","=""0500111""","White",3.1,"*",1.8,"*",2.8
"Explorations District","Explorations","=""2726113""","American Indian or Alaska Native","N/A","*","*","*","*"
"Explorations District","Explorations","=""2726113""","Asian","N/A","*","*","N/A","*"
"Explorations District","Explorations","=""2726113""","Black or African American","*","*","*","*","*"
"Explorations District","Explorations","=""2726113""","Hispanic/Latino of any race","*","*","*","*","*"
"Explorations District","Explorations","=""2726113""","Two or More Races","N/A","*","*","*","*"
"Explorations District","Explorations","=""2726113""","White","*",38.8,29.2,24.6,23.5
"Fairfield School District","Burr Elementary School","=""0510211""","American Indian or Alaska Native","*","*","N/A","N/A","N/A"
"Fairfield School District","Burr Elementary School","=""0510211""","Asian","*","*","*",0.0,0.0
"Fairfield School District","Burr Elementary School","=""0510211""","Black or African American","*","*","*","*","*"
"Fairfield School District","Burr Elementary School","=""0510211""","Hispanic/Latino of any race","*","*","*","*",0.0
"Fairfield School District","Burr Elementary School","=""0510211""","Two or More Races","*","*","*","*","*"
"Fairfield School District","Burr Elementary School","=""0510211""","White",1.9,"*",2.2,2.2,4.4
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","American Indian or Alaska Native","*","*","*","N/A","N/A"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Asian",0.0,0.0,0.0,"*","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Black or African American","*","*","*","*",0.0
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Hispanic/Latino of any race",15.0,10.3,"*",6.1,"*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Native Hawaiian or Other Pacific Islander","*","*","*","N/A","N/A"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","Two or More Races","*","*",0.0,"*","*"
"Fairfield School District","Fairfield Ludlowe High School","=""0516011""","White",6.9,6.3,4.0,4.5,5.9
"Fairfield School District","Fairfield Warde High School","=""0516211""","American Indian or Alaska Native","*","*","*","*","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Asian","*","*","*","*","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Black or African American",20.4,15.3,"*","*","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Hispanic/Latino of any race",8.3,6.9,6.6,4.3,7.8
"Fairfield School District","Fairfield Warde High School","=""0516211""","Native Hawaiian or Other Pacific Islander","*","*","N/A","N/A","N/A"
"Fairfield School District","Fairfield Warde High School","=""0516211""","Two or More Races","*","*","*","*","*"
"Fairfield School District","Fairfield Warde High School","=""0516211""","White",6.6,5.7,2.8,4.3,4.4
"Fairfield School District","McKinley School","=""0510611""","American Indian or Alaska Native","*","N/A","N/A","N/A","N/A"
"Fairfield School District","McKinley School","=""0510611""","Asian",14.8,"*","*","*","*"
"Fairfield School District","McKinley School","=""0510611""","Black or African American","*",0.0,"*","*",0.0
"Fairfield School District","McKinley School","=""0510611""","Hispanic/Latino of any race",6.3,"*",5.6,"*","*"
"Fairfield School District","McKinley School","=""0510611""","Two or More Races","*",0.0,0.0,"*",0.0
"Fairfield School District","McKinley School","=""0510611""","White",6.3,"*",5.5,4.4,"*"
"Fairfield School District","Riverfield School","=""0511211""","American Indian or Alaska Native","*","*","*","*","N/A"
"Fairfield School District","Riverfield School","=""0511211""","Asian","*","*","*","*","*"
"Fairfield School District","Riverfield School","=""0511211""","Black or African American","*","*","*","*","*"
"Fairfield School District","Riverfield School","=""0511211""","Hispanic/Latino of any race","*","*","*","*","*"
"Fairfield School District","Riverfield School","=""0511211""","Two or More Races","*","*","*","*","*"
"Fairfield School District","Riverfield School","=""0511211""","White",2.5,"*",2.9,"*",2.5
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","American Indian or Alaska Native","*","*","*","*","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Asian","*",0.0,"*","*","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Black or African American","*","*","*","*","*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Hispanic/Latino of any race",8.8,"*","*","*",0.0
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","Two or More Races","*","*","*",0.0,"*"
"Fairfield School District","Roger Ludlowe Middle School","=""0515311""","White",7.8,5.1,5.4,5.7,2.1
"Fairfield School District","Stratfield School","=""0511411""","American Indian or Alaska Native","*","N/A","N/A","N/A","N/A"
"Fairfield School District","Stratfield School","=""0511411""","Asian","*",0.0,0.0,0.0,"*"
"Fairfield School District","Stratfield School","=""0511411""","Black or African American","*","*","*","*","*"
"Fairfield School District","Stratfield School","=""0511411""","Hispanic/Latino of any race","*",0.0,"*","*","*"
"Fairfield School District","Stratfield School","=""0511411""","Native Hawaiian or Other Pacific Islander","N/A","*","*","*","*"
"Fairfield School District","Stratfield School","=""0511411""","Two or More Races","*","*","*","*","*"
"Fairfield School District","Stratfield School","=""0511411""","White","*","*",2.4,"*","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","American Indian or Alaska Native","*","*","*","*","N/A"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Asian","*","*","*","*","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Black or African American","*","*","*","*",0.0
"Fairfield School District","Tomlinson Middle School","=""0515111""","Hispanic/Latino of any race",8.0,"*",8.0,"*","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","Two or More Races","*","*","*","*","*"
"Fairfield School District","Tomlinson Middle School","=""0515111""","White",8.0,5.4,4.6,3.4,5.8
"Fairfield School District","Dwight Elementary School","=""0510111""","Asian","*","*","*","*","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Black or African American","*","*","*","*","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Hispanic/Latino of any race","*","*","*","*","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","Two or More Races","*","*","*","*","*"
"Fairfield School District","Dwight Elementary School","=""0510111""","White","*","*","*","*","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","American Indian or Alaska Native","N/A","N/A","N/A","N/A","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Asian","*","*",0.0,0.0,0.0
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Black or African American","*","*","*","*",0.0
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Hispanic/Latino of any race","*","*","*","*","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Native Hawaiian or Other Pacific Islander","N/A","N/A","N/A","N/A","*"
"Fairfield School District","Fairfield Woods Middle School","=""0515211""","Two or More Races","*","*","*","*","*"
