"Chronic Absenteeism, 2014-15"
", All Schools, English Learner Status"

"District","District Code","School","School Code","English Learner Status","% Chronically Absent"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","ELL",25.9
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Non-ELL",4.2
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","ELL","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Non-ELL","*"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","ELL","*"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","Non-ELL","*"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Non-ELL","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","ELL","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Non-ELL","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","ELL","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Non-ELL","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","ELL","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Non-ELL","*"
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Non-ELL","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","ELL","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Non-ELL","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Non-ELL","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","ELL","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Non-ELL","*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","ELL","*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Non-ELL","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Non-ELL","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","ELL","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Non-ELL","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","ELL","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Non-ELL",15.9
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Non-ELL","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","ELL","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Non-ELL",7.7
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Non-ELL","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","ELL","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Non-ELL","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","ELL","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Non-ELL","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Non-ELL",28.4
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","ELL","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Non-ELL","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","ELL","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Non-ELL","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","ELL","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Non-ELL","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","ELL","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Non-ELL","*"
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","ELL","*"
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Non-ELL","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","ELL","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Non-ELL","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","ELL","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Non-ELL",4.0
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","ELL",0.0
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Non-ELL",4.4
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","ELL","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Non-ELL","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","ELL","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Non-ELL","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","ELL","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Non-ELL","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","ELL","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Non-ELL","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","ELL","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Non-ELL","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","ELL","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Non-ELL",1.9
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","ELL","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Non-ELL","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","ELL","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Non-ELL","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","ELL","*"
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Non-ELL","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","ELL","*"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Non-ELL","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Non-ELL","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","ELL","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Non-ELL","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","ELL","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Non-ELL","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","ELL","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Non-ELL","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","ELL","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Non-ELL","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","ELL","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Non-ELL","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","ELL","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Non-ELL","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Non-ELL",4.4
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","ELL","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","ELL","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","ELL","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","ELL","*"
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","ELL","*"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Non-ELL","*"
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Non-ELL",51.9
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","ELL","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","ELL","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Non-ELL","*"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Non-ELL","*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","ELL","*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","Non-ELL","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","ELL","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Non-ELL","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","ELL","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Non-ELL","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","ELL","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Non-ELL","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Non-ELL",3.4
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Non-ELL",4.5
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","ELL","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Non-ELL","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","ELL","*"
"Great Oaks Charter School District","=""2940013""","Great Oaks Charter School","=""2940113""","Non-ELL","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","ELL","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Non-ELL","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","ELL","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Non-ELL","*"
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","Non-ELL","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","ELL",0.0
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Non-ELL",1.5
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","ELL",0.0
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Non-ELL",2.3
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","ELL","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Non-ELL","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","ELL",0.0
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Non-ELL",3.5
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","ELL","*"
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Non-ELL","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","ELL","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Non-ELL","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","ELL","*"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Non-ELL","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","ELL",0.0
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Non-ELL","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","ELL",0.0
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Non-ELL",1.3
"Greenwich School District","=""0570011""","North Street School","=""0570811""","ELL",0.0
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Non-ELL","*"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","ELL",0.0
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Non-ELL","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","ELL","*"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Non-ELL","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","ELL","*"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Non-ELL","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","ELL","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Non-ELL","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Non-ELL","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","ELL","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Non-ELL","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Non-ELL",13.4
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","ELL","*"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Non-ELL","*"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","ELL","*"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Non-ELL","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","ELL","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Non-ELL","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","ELL","*"
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Non-ELL","*"
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","ELL","*"
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","Non-ELL","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","ELL","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Non-ELL","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","ELL","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Non-ELL","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","ELL","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Non-ELL","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","ELL","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Non-ELL",9.5
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","ELL",28.6
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Non-ELL",19.0
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","ELL","*"
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Non-ELL","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","Non-ELL","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","ELL","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Non-ELL","*"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","ELL","*"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Non-ELL","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","ELL","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Non-ELL","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","ELL","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Non-ELL","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","ELL","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Non-ELL","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","ELL","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Non-ELL","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","ELL","*"
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Non-ELL","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","ELL","*"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Non-ELL","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Non-ELL","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","ELL","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Non-ELL","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","ELL","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Non-ELL","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","ELL","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Non-ELL","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Non-ELL",80.3
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","ELL",25.0
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Non-ELL",23.2
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","ELL",20.6
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Non-ELL",12.5
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","ELL","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Non-ELL","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","ELL","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Non-ELL","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","ELL",13.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Non-ELL",10.8
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","ELL","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Non-ELL","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","ELL","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Non-ELL","*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Non-ELL",6.8
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""","ELL",47.0
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""","Non-ELL",36.5
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","ELL","*"
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","Non-ELL","*"
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","ELL","*"
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","Non-ELL","*"
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","ELL","*"
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","Non-ELL","*"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","ELL","*"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","Non-ELL","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","ELL",18.2
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Non-ELL",18.4
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""","ELL","*"
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""","Non-ELL","*"
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""","ELL","*"
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""","Non-ELL","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","ELL","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Non-ELL","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","ELL",50.6
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Non-ELL",52.9
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","ELL",46.4
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Non-ELL",55.5
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","ELL",32.9
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Non-ELL",36.1
"Hartford School District","=""0640011""","Burr School","=""0642311""","ELL",27.1
"Hartford School District","=""0640011""","Burr School","=""0642311""","Non-ELL",24.3
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","ELL","*"
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Non-ELL","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","ELL",0.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Non-ELL",4.7
"Hartford School District","=""0640011""","Clark School","=""0642411""","ELL",46.5
"Hartford School District","=""0640011""","Clark School","=""0642411""","Non-ELL",35.9
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","ELL","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Non-ELL","*"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","ELL",50.0
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Non-ELL",57.6
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","ELL",21.7
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Non-ELL",22.0
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","ELL","*"
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","Non-ELL","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","ELL","*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","Non-ELL","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","ELL","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","Non-ELL","*"
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","ELL","*"
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","Non-ELL","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","ELL","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","Non-ELL","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","ELL","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Non-ELL","*"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","ELL",23.1
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Non-ELL",27.1
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","ELL",26.0
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Non-ELL",27.1
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","ELL",16.9
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Non-ELL",7.4
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""","ELL","*"
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""","Non-ELL","*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","ELL",68.4
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Non-ELL",62.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","ELL",63.6
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Non-ELL",65.1
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","ELL",66.7
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Non-ELL",62.5
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","ELL",10.3
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Non-ELL",7.6
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","ELL",56.4
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Non-ELL",49.0
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","ELL","*"
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","Non-ELL","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","ELL","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Non-ELL","*"
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","ELL",26.0
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Non-ELL",25.4
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","ELL",27.1
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Non-ELL",32.4
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","ELL",27.5
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Non-ELL",26.1
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","ELL","*"
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","Non-ELL","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","ELL","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","Non-ELL","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","ELL","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","Non-ELL","*"
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""","Non-ELL","*"
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","ELL",26.4
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Non-ELL",21.5
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","ELL",57.6
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Non-ELL",34.1
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","ELL","*"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Non-ELL","*"
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","ELL","*"
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","Non-ELL","*"
"Hartford School District","=""0640011""","New Visions Program","=""0642711""","ELL","*"
"Hartford School District","=""0640011""","New Visions Program","=""0642711""","Non-ELL","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","ELL",0.0
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Non-ELL",10.1
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","ELL","*"
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Non-ELL","*"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","ELL",14.7
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Non-ELL",22.5
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","ELL","*"
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Non-ELL","*"
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","ELL",22.2
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Non-ELL",12.6
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","ELL","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Non-ELL","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","ELL",49.1
"Hartford School District","=""0640011""","SAND School","=""0640111""","Non-ELL",37.0
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","ELL","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Non-ELL","*"
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","ELL",15.0
