"Per Pupil Expenditures, Trend"
"All Districts"

"",,"Year",,,,
="Griswold School District",="Instructional Staff and Services",8538,7863,7609,7611,7787
,="Instructional Supplies and Equipment",199,134,88,82,110
,="Instruction and Educational Media Services",101,185,118,303,130
,="Student Support Services",444,497,537,374,560
,="Administration and Support Services",1815,1816,2027,2095,2037
,="Plant Operation and Management",1210,1233,1410,1425,2460
,="Transportation",796,862,806,863,826
,="Other",196,202,152,179,245
,="Total Expenditures",13507,13082,13067,13380,14423
="Groton School District",="Instructional Staff and Services",8842,8586,9089,9366,9027
,="Instructional Supplies and Equipment",350,277,475,247,155
,="Instruction and Educational Media Services",540,541,481,441,897
,="Student Support Services",1188,1165,1155,1124,1821
,="Administration and Support Services",1595,1933,1669,1545,1749
,="Plant Operation and Management",1619,1618,1521,1568,1574
,="Transportation",787,812,933,1019,918
,="Other",0,0,0,21,0
,="Total Expenditures",14850,14902,15184,15315,15842
="Guilford School District",="Instructional Staff and Services",8182,8291,8617,9072,9758
,="Instructional Supplies and Equipment",240,251,258,292,290
,="Instruction and Educational Media Services",427,486,490,522,569
,="Student Support Services",904,923,926,980,1068
,="Administration and Support Services",1444,1454,1600,1630,1730
,="Plant Operation and Management",1217,1283,1407,1451,1565
,="Transportation",814,801,878,915,935
,="Other",192,196,205,225,241
,="Total Expenditures",14081,14458,15312,15963,17084
="Hamden School District",="Instructional Staff and Services",10237,10147,10542,10978,11491
,="Instructional Supplies and Equipment",139,127,163,238,431
,="Instruction and Educational Media Services",208,245,246,260,265
,="Student Support Services",1218,1384,1425,1406,1496
,="Administration and Support Services",1538,1617,1655,1687,1788
,="Plant Operation and Management",1738,1791,1760,1874,2043
,="Transportation",878,917,972,1025,1099
,="Other",150,161,175,171,184
,="Total Expenditures",15662,15839,16270,16908,18079
="Hampton School District",="Instructional Staff and Services",10215,11428,11335,10902,11912
,="Instructional Supplies and Equipment",300,265,417,467,252
,="Instruction and Educational Media Services",525,656,684,543,591
,="Student Support Services",1261,1450,1751,2149,2278
,="Administration and Support Services",2397,2894,2947,3326,2973
,="Plant Operation and Management",1346,3424,1967,1936,2267
,="Transportation",686,738,715,804,817
,="Other",195,141,171,68,149
,="Total Expenditures",19402,24487,22542,22490,23624
="Hartford School District",="Instructional Staff and Services",9103,9197,9019,9128,N/A
,"Instructional Supplies and Equipment",613,335,500,531,N/A
,"Instruction and Educational Media Services",351,321,325,426,N/A
,"Student Support Services",1202,1297,1351,1435,N/A
,"Administration and Support Services",2123,2325,2269,2499,N/A
,"Plant Operation and Management",2055,1935,1635,1829,N/A
,"Transportation",1222,1258,1254,1167,N/A
,"Other",14,12,8,10,N/A
,"Total Expenditures",16999,16961,16735,17236,N/A
"Hartland School District","Instructional Staff and Services",7464,7475,8089,9280,9019
,="Instructional Supplies and Equipment",281,311,269,305,229
,="Instruction and Educational Media Services",905,809,823,1085,1115
,="Student Support Services",1736,1802,1849,1918,2179
,="Administration and Support Services",1844,1810,2034,2093,2197
,="Plant Operation and Management",1234,1141,1369,1467,1622
,="Transportation",836,783,830,807,1010
,="Other",576,577,644,3045,725
,="Total Expenditures",13760,14044,15210,18863,17460
="Hebron School District",="Instructional Staff and Services",6981,7700,8443,8893,9553
,="Instructional Supplies and Equipment",163,288,127,201,235
,="Instruction and Educational Media Services",399,512,645,604,950
,="Student Support Services",804,932,974,997,1251
,="Administration and Support Services",1003,961,1399,1776,1750
,="Plant Operation and Management",1107,947,1065,1187,1516
,="Transportation",242,241,272,269,303
,="Other",0,0,0,0,0
,="Total Expenditures",10828,11621,13011,13816,15487
="Highville Charter School District",="Instructional Staff and Services",5275,4886,5979,6035,5311
,="Instructional Supplies and Equipment",199,555,529,317,179
,="Instruction and Educational Media Services",184,116,219,267,365
,="Student Support Services",404,315,334,186,254
,="Administration and Support Services",1989,1773,1897,1991,2793
,="Plant Operation and Management",1884,1640,1890,2088,1820
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",793,783,836,894,739
,="Total Expenditures",10810,10223,11898,11899,11480
="Integrated Day Charter School District",="Instructional Staff and Services",5911,5977,5888,6154,6370
,="Instructional Supplies and Equipment",128,116,192,317,440
,="Instruction and Educational Media Services",314,469,428,477,476
,="Student Support Services",267,245,319,523,560
,="Administration and Support Services",1681,1745,1974,2190,2450
,="Plant Operation and Management",1256,1258,1131,1199,1289
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",339,343,344,463,625
,="Total Expenditures",9913,10171,10305,11343,12245
="Interdistrict School for Arts and Comm District",="Instructional Staff and Services",8088,8146,8137,7496,7077
,="Instructional Supplies and Equipment",189,259,256,456,219
,="Instruction and Educational Media Services",49,246,827,1140,989
,="Student Support Services",327,492,353,538,613
,="Administration and Support Services",2085,2490,2555,2838,2539
,="Plant Operation and Management",1299,1126,1220,1195,1557
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",12075,12808,13371,13688,13032
="Jumoke Academy District",="Instructional Staff and Services",5794,5088,5687,5669,6007
,="Instructional Supplies and Equipment",260,260,361,483,660
,="Instruction and Educational Media Services",613,633,776,35,109
,="Student Support Services",759,1455,1709,1255,1632
,="Administration and Support Services",2037,2020,2047,1787,2213
,="Plant Operation and Management",1414,1176,1579,1337,1276
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",0,8,12,2,1
,="Total Expenditures",10877,10639,12172,10570,11900
="Kent School District",="Instructional Staff and Services",10056,10758,11344,11561,13776
,="Instructional Supplies and Equipment",471,471,450,528,609
,="Instruction and Educational Media Services",427,379,371,420,467
,="Student Support Services",1056,1139,1239,1239,1088
,="Administration and Support Services",1696,1899,2000,2139,2243
,="Plant Operation and Management",1736,1770,2199,2019,2104
,="Transportation",911,988,1076,1125,1236
,="Other",26,38,50,110,118
,="Total Expenditures",16807,18318,19672,20118,22168
="Killingly School District",="Instructional Staff and Services",7649,7711,7738,7981,8112
,="Instructional Supplies and Equipment",229,186,128,233,168
,="Instruction and Educational Media Services",718,686,821,874,911
,="Student Support Services",683,806,871,813,862
,="Administration and Support Services",1422,1519,1562,1528,1817
,="Plant Operation and Management",1538,1505,1505,1624,1803
,="Transportation",919,961,974,867,1309
,="Other",0,0,0,0,0
,="Total Expenditures",14449,14570,14953,15958,16925
="Lebanon School District",="Instructional Staff and Services",8125,7830,7633,9147,9493
,="Instructional Supplies and Equipment",284,225,402,439,505
,="Instruction and Educational Media Services",201,312,343,347,368
,="Student Support Services",442,893,1099,516,520
,="Administration and Support Services",1349,1546,1524,1548,1354
,="Plant Operation and Management",1257,1528,1730,2236,2207
,="Transportation",919,962,974,1063,1101
,="Other",50,185,171,298,413
,="Total Expenditures",13260,14095,14628,16175,16600
="Ledyard School District",="Instructional Staff and Services",7256,7432,7622,7807,8357
,="Instructional Supplies and Equipment",353,402,234,201,367
,="Instruction and Educational Media Services",385,375,343,373,456
,="Student Support Services",736,778,813,852,870
,="Administration and Support Services",1492,1641,1623,1703,1951
,="Plant Operation and Management",1052,1043,1058,1132,1339
,="Transportation",904,1027,1044,1011,970
,="Other",146,158,155,164,148
,="Total Expenditures",12703,13162,13264,13501,14631
="Lisbon School District",="Instructional Staff and Services",8502,9544,9687,10138,10058
,="Instructional Supplies and Equipment",498,179,141,401,390
,="Instruction and Educational Media Services",55,55,61,116,195
,="Student Support Services",1174,1375,1648,1445,1462
,="Administration and Support Services",1359,1514,1481,1593,1701
,="Plant Operation and Management",1388,1394,1254,1426,2049
,="Transportation",788,965,1017,1037,1088
,="Other",0,0,0,31,71
,="Total Expenditures",14685,16289,17489,18699,19253
="Litchfield School District",="Instructional Staff and Services",7741,7869,8794,9326,9501
,="Instructional Supplies and Equipment",211,180,256,203,330
,="Instruction and Educational Media Services",902,1022,871,979,1080
,="Student Support Services",1157,1324,1426,1332,1553
,="Administration and Support Services",1362,1417,1623,1677,1796
,="Plant Operation and Management",1608,1696,1811,1926,1880
,="Transportation",760,900,962,946,925
,="Other",295,343,390,436,491
,="Total Expenditures",14373,15332,16794,17443,18115
="Madison School District",="Instructional Staff and Services",7630,7981,8125,8627,8955
,="Instructional Supplies and Equipment",358,395,387,396,324
,="Instruction and Educational Media Services",540,595,570,647,813
,="Student Support Services",1111,1180,1222,1226,1345
,="Administration and Support Services",1097,1160,1262,1186,1274
,="Plant Operation and Management",1416,1491,1481,1623,1843
,="Transportation",826,890,933,1013,1076
,="Other",357,397,384,404,472
,="Total Expenditures",13749,14497,14873,15676,16637
="Manchester School District",="Instructional Staff and Services",8917,9752,9730,9823,10202
,="Instructional Supplies and Equipment",337,250,212,264,292
,="Instruction and Educational Media Services",576,569,740,957,1292
,="Student Support Services",981,1069,1147,1191,1213
,="Administration and Support Services",1541,1638,1718,1916,1960
,="Plant Operation and Management",1588,1664,1684,1807,1790
,="Transportation",532,495,676,696,702
,="Other",200,248,237,249,216
,="Total Expenditures",14307,14994,15326,15886,16248
="Mansfield School District",="Instructional Staff and Services",10222,9935,10259,10856,11434
,="Instructional Supplies and Equipment",390,493,404,656,600
,="Instruction and Educational Media Services",467,446,551,457,466
,="Student Support Services",714,981,890,1044,1094
,="Administration and Support Services",2141,2154,2188,2241,2338
,="Plant Operation and Management",1335,1345,1310,1359,1276
,="Transportation",491,548,490,510,555
,="Other",61,70,68,66,75
,="Total Expenditures",16285,16483,16669,17602,18250
="Marlborough School District",="Instructional Staff and Services",7215,7376,7705,8139,8207
,="Instructional Supplies and Equipment",140,233,196,283,439
,="Instruction and Educational Media Services",319,315,371,466,494
,="Student Support Services",432,376,343,219,231
,="Administration and Support Services",1006,1002,1149,1246,1250
,="Plant Operation and Management",1062,962,1044,1203,1208
,="Transportation",264,270,307,307,298
,="Other",0,0,70,0,0
,="Total Expenditures",10579,10711,11244,11913,12268
="Meriden School District",="Instructional Staff and Services",7670,7619,7706,8290,8580
,="Instructional Supplies and Equipment",98,213,248,316,330
,="Instruction and Educational Media Services",150,131,114,125,108
,="Student Support Services",1011,958,971,1004,1062
,="Administration and Support Services",1196,1230,1278,1295,1341
,="Plant Operation and Management",1298,1446,1528,1568,1586
,="Transportation",599,632,655,693,703
,="Other",86,91,105,124,130
,="Total Expenditures",12732,12854,12754,13415,13822
="Middletown School District",="Instructional Staff and Services",8411,8042,8913,9570,9956
,="Instructional Supplies and Equipment",151,154,178,211,291
,="Instruction and Educational Media Services",282,251,378,299,390
,="Student Support Services",757,987,850,913,894
,="Administration and Support Services",1020,1258,1213,1291,1330
,="Plant Operation and Management",1675,1654,1703,1871,1823
,="Transportation",1087,1115,1203,1280,1413
,="Other",191,343,323,280,344
,="Total Expenditures",13984,14060,14870,15816,16528
="Milford School District",="Instructional Staff and Services",10126,10318,10714,11318,11494
,="Instructional Supplies and Equipment",381,424,444,472,575
,="Instruction and Educational Media Services",270,280,287,312,342
,="Student Support Services",441,480,504,528,555
,="Administration and Support Services",1256,1357,1587,1720,1849
,="Plant Operation and Management",1632,1725,1682,1740,1963
,="Transportation",562,596,647,682,671
,="Other",134,152,168,316,206
,="Total Expenditures",15161,15653,16365,17453,18131
="Monroe School District",="Instructional Staff and Services",8570,9025,9153,9198,9446
,="Instructional Supplies and Equipment",310,195,166,141,140
,="Instruction and Educational Media Services",536,553,651,778,896
,="Student Support Services",1018,1108,1181,1049,1148
,="Administration and Support Services",1255,1305,1293,1636,1720
,="Plant Operation and Management",1576,1566,1701,1612,1602
,="Transportation",596,651,693,712,812
,="Other",83,126,149,160,166
,="Total Expenditures",14127,14691,15255,15640,16336
="Montville School District",="Instructional Staff and Services",8484,8666,8928,9087,9539
,="Instructional Supplies and Equipment",495,617,350,440,403
,="Instruction and Educational Media Services",290,299,338,335,337
,="Student Support Services",821,856,965,956,962
,="Administration and Support Services",1222,1263,1337,1377,1398
,="Plant Operation and Management",1547,1603,1675,1735,1654
,="Transportation",750,890,913,872,1091
,="Other",216,198,232,239,248
,="Total Expenditures",13762,14348,14661,14858,15473
="Naugatuck School District",="Instructional Staff and Services",8622,9110,9044,9429,9611
,="Instructional Supplies and Equipment",141,200,194,195,237
,="Instruction and Educational Media Services",163,182,190,171,240
,="Student Support Services",883,930,1003,1005,1116
,="Administration and Support Services",1576,1583,1704,1932,2067
,="Plant Operation and Management",1226,1371,1320,1480,1674
,="Transportation",582,582,667,710,725
,="Other",202,171,166,124,139
,="Total Expenditures",13259,13869,14053,14653,15375
="New Beginnings Inc., Family Academy District",="Instructional Staff and Services",5879,5435,5848,7688,N/A
,"Instructional Supplies and Equipment",349,458,459,612,N/A
,"Instruction and Educational Media Services",232,78,68,12,N/A
,"Student Support Services",541,610,880,847,N/A
,"Administration and Support Services",1688,1666,1506,2232,N/A
,"Plant Operation and Management",1267,1309,1265,1262,N/A
,"Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",850,793,823,894,N/A
,"Total Expenditures",10827,10473,10971,13571,N/A
"New Britain School District","Instructional Staff and Services",8774,8249,8654,9427,9595
,="Instructional Supplies and Equipment",327,157,171,201,169
,="Instruction and Educational Media Services",276,129,128,121,334
,="Student Support Services",416,400,438,427,271
,="Administration and Support Services",1161,1177,1203,1187,1210
,="Plant Operation and Management",1044,928,900,1171,1057
,="Transportation",1024,1058,1074,1049,1102
,="Other",19,23,0,0,0
,="Total Expenditures",13338,12333,12616,13579,13715
="New Canaan School District",="Instructional Staff and Services",9822,10039,10075,10222,10842
,="Instructional Supplies and Equipment",193,202,193,273,189
,="Instruction and Educational Media Services",331,420,585,661,802
,="Student Support Services",1700,1675,1983,1990,1774
,="Administration and Support Services",2095,2168,2131,2267,1882
,="Plant Operation and Management",2120,2132,1890,1899,2433
,="Transportation",955,941,915,904,1041
,="Other",292,260,333,330,381
,="Total Expenditures",18132,18468,18758,19312,20138
="New Fairfield School District",="Instructional Staff and Services",7723,8033,8101,8234,8745
,="Instructional Supplies and Equipment",314,292,253,359,423
,="Instruction and Educational Media Services",342,368,435,414,440
,="Student Support Services",990,1030,934,1043,1067
,="Administration and Support Services",1437,1361,1477,1431,1520
,="Plant Operation and Management",1159,1161,1137,1231,1321
,="Transportation",532,562,584,609,701
,="Other",184,173,184,207,220
,="Total Expenditures",12974,13242,13420,13811,14915
="New Hartford School District",="Instructional Staff and Services",9234,8882,9110,9450,9994
,="Instructional Supplies and Equipment",121,192,166,258,240
,="Instruction and Educational Media Services",52,59,105,153,138
,="Student Support Services",480,475,583,618,665
,="Administration and Support Services",1254,1387,1347,1473,1458
,="Plant Operation and Management",1460,1327,1738,1774,1882
,="Transportation",554,563,595,587,617
,="Other",28,31,0,7,27
,="Total Expenditures",13875,13529,14294,14761,15754
="New Haven School District",="Instructional Staff and Services",10196,9711,9498,9772,9849
,="Instructional Supplies and Equipment",260,289,356,420,370
,="Instruction and Educational Media Services",351,282,339,284,425
,="Student Support Services",471,564,254,229,241
,="Administration and Support Services",1985,1782,1671,1725,1688
,="Plant Operation and Management",1726,1618,1469,1412,1458
,="Transportation",1119,1218,1265,1290,1308
,="Other",330,215,92,176,156
,="Total Expenditures",16996,16221,15520,15882,16062
="New London School District",="Instructional Staff and Services",8133,8514,7378,8202,8267
,="Instructional Supplies and Equipment",316,233,561,760,799
,="Instruction and Educational Media Services",555,537,490,489,474
,="Student Support Services",1082,1199,1153,1280,1218
,="Administration and Support Services",1765,1950,2103,2623,2800
,="Plant Operation and Management",1793,1723,1743,1834,1836
,="Transportation",897,920,931,1055,1039
,="Other",152,146,127,135,161
,="Total Expenditures",13505,13946,13353,14908,15134
="New Milford School District",="Instructional Staff and Services",7699,7365,7358,7714,8065
,="Instructional Supplies and Equipment",349,227,219,224,230
,="Instruction and Educational Media Services",240,253,240,270,283
,="Student Support Services",867,869,871,952,956
,="Administration and Support Services",1115,1301,1464,1551,1864
,="Plant Operation and Management",1196,1196,1226,1374,1366
,="Transportation",912,946,968,1085,1078
,="Other",211,200,230,228,246
,="Total Expenditures",12956,12750,12970,13832,14574
="Newington School District",="Instructional Staff and Services",8531,8560,8430,9038,9388
,="Instructional Supplies and Equipment",406,315,509,490,529
,="Instruction and Educational Media Services",429,508,486,515,497
,="Student Support Services",726,787,822,837,941
,="Administration and Support Services",1400,1420,1462,1621,1765
,="Plant Operation and Management",1780,2077,2126,2017,2112
,="Transportation",603,663,738,721,913
,="Other",168,181,189,182,179
,="Total Expenditures",14393,14784,14962,15506,16253
="Newtown School District",="Instructional Staff and Services",7152,7392,7616,8095,8327
,="Instructional Supplies and Equipment",206,232,204,233,241
,="Instruction and Educational Media Services",302,309,324,383,373
,="Student Support Services",914,971,1150,1663,1674
,="Administration and Support Services",1222,1273,1429,1645,1765
,="Plant Operation and Management",1726,1828,1971,2167,2263
,="Transportation",877,940,793,851,873
,="Other",154,162,171,178,180
,="Total Expenditures",12856,13374,13995,15695,16251
="Norfolk School District",="Instructional Staff and Services",10273,11432,11337,11958,11135
,="Instructional Supplies and Equipment",174,301,335,275,259
,="Instruction and Educational Media Services",192,724,778,726,1119
,="Student Support Services",361,426,456,448,494
,="Administration and Support Services",3078,3372,3956,4937,5075
,="Plant Operation and Management",2980,2927,3088,2840,2905
,="Transportation",642,692,783,862,945
,="Other",17,60,16,22,19
,="Total Expenditures",17869,20465,21364,23327,23250
="North Branford School District",="Instructional Staff and Services",6874,7187,7371,7420,7627
,="Instructional Supplies and Equipment",256,224,229,190,198
,="Instruction and Educational Media Services",670,755,783,891,914
,="Student Support Services",1018,1109,1124,1175,1251
,="Administration and Support Services",1326,1356,1454,1575,1619
,="Plant Operation and Management",1540,1494,1661,1777,1947
,="Transportation",860,948,1003,1130,1186
,="Other",323,292,402,419,445
,="Total Expenditures",12893,13424,13897,14383,15242
="North Canaan School District",="Instructional Staff and Services",9679,10844,10685,11410,13036
,="Instructional Supplies and Equipment",420,300,326,405,429
,="Instruction and Educational Media Services",30,119,117,171,192
,="Student Support Services",962,1309,1282,1396,1154
,="Administration and Support Services",2996,1779,1863,1918,2080
,="Plant Operation and Management",1730,1839,1719,1856,2030
,="Transportation",711,754,758,802,919
,="Other",0,55,53,62,67
,="Total Expenditures",17059,17762,17381,18510,20149
="North Haven School District",="Instructional Staff and Services",6861,6947,7139,7644,7994
,="Instructional Supplies and Equipment",182,171,318,175,192
,="Instruction and Educational Media Services",293,253,298,286,348
,="Student Support Services",1168,1255,1325,1370,1523
,="Administration and Support Services",2041,1955,1891,2110,2167
,="Plant Operation and Management",1175,1121,1180,1280,1276
,="Transportation",556,735,737,843,861
,="Other",136,134,151,173,177
,="Total Expenditures",12771,12990,13445,14344,15034
="North Stonington School District",="Instructional Staff and Services",9375,9109,9259,9561,9714
,="Instructional Supplies and Equipment",664,788,909,844,723
,="Instruction and Educational Media Services",201,215,217,289,231
,="Student Support Services",787,850,705,955,999
,="Administration and Support Services",1641,2071,1796,2335,2400
,="Plant Operation and Management",1563,1567,1821,1527,1730
,="Transportation",990,1055,1073,1174,1131
,="Other",0,0,23,1,0
,="Total Expenditures",15153,15511,15647,16701,16568
="Norwalk School District",="Instructional Staff and Services",9933,10019,10122,10552,10473
,="Instructional Supplies and Equipment",167,122,99,193,220
,="Instruction and Educational Media Services",131,106,66,87,94
,="Student Support Services",994,1035,1089,1217,1288
,="Administration and Support Services",2061,2157,2114,2228,2227
,="Plant Operation and Management",1393,1383,1396,1421,1602
,="Transportation",455,470,498,541,577
,="Other",116,123,103,111,138
,="Total Expenditures",15644,15834,15878,16839,17220
="Norwich School District",="Instructional Staff and Services",8685,7781,9366,9097,9085
,="Instructional Supplies and Equipment",95,97,352,542,728
,="Instruction and Educational Media Services",122,125,244,161,86
,="Student Support Services",1376,1466,1369,1562,1417
,="Administration and Support Services",1109,1089,879,984,1127
,="Plant Operation and Management",1137,1032,1197,1525,1276
,="Transportation",1013,1066,1109,1146,1212
,="Other",0,0,0,0,0
,="Total Expenditures",15135,14590,16212,16812,17111
="Odyssey Community School District",="Instructional Staff and Services",6136,5566,5849,6229,6455
,="Instructional Supplies and Equipment",225,346,162,252,179
,="Instruction and Educational Media Services",107,49,289,289,285
,="Student Support Services",203,164,167,163,183
,="Administration and Support Services",2351,1595,1754,1832,1807
,="Plant Operation and Management",1269,987,1318,1429,1502
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",10290,8706,9539,10193,10411
="Old Saybrook School District",="Instructional Staff and Services",7878,7827,8458,9089,9155
,="Instructional Supplies and Equipment",163,332,377,557,639
,="Instruction and Educational Media Services",812,680,765,848,899
,="Student Support Services",846,907,995,1106,1139
,="Administration and Support Services",1389,1442,1507,1805,1765
,="Plant Operation and Management",1736,1689,1898,1818,1970
,="Transportation",542,598,617,712,922
,="Other",300,324,343,372,423
,="Total Expenditures",14268,14670,15855,17155,17855
="Orange School District",="Instructional Staff and Services",8951,9048,9265,9990,10003
,="Instructional Supplies and Equipment",209,244,229,308,389
,="Instruction and Educational Media Services",568,475,531,696,745
,="Student Support Services",1155,1227,1350,1030,1059
,="Administration and Support Services",1400,1328,1278,1486,1743
,="Plant Operation and Management",1219,1153,1429,1417,1861
,="Transportation",388,418,395,417,438
,="Other",0,0,114,150,116
,="Total Expenditures",14464,14600,15041,15993,16985
="Oxford School District",="Instructional Staff and Services",7102,7290,7729,8305,8699
,="Instructional Supplies and Equipment",280,277,285,296,266
,="Instruction and Educational Media Services",12,39,48,69,95
,="Student Support Services",871,796,784,884,999
,="Administration and Support Services",1543,1634,1683,1724,1791
,="Plant Operation and Management",1289,1254,1248,1122,1034
,="Transportation",632,647,685,763,832
,="Other",224,161,465,487,276
,="Total Expenditures",12267,12332,13262,13980,14372
="Park City Prep Charter School District",="Instructional Staff and Services",4495,4322,4213,4204,3852
,="Instructional Supplies and Equipment",772,299,317,880,1936
,="Instruction and Educational Media Services",216,270,328,216,576
,="Student Support Services",820,1083,1139,1212,976
,="Administration and Support Services",2174,2652,2985,3227,2284
,="Plant Operation and Management",1455,1443,2148,3155,2276
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",9932,10069,11130,12894,11902
="Path Academy District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,5728
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,724
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,1030
,="Student Support Services",N/A,N/A,N/A,N/A,2625
,="Administration and Support Services",N/A,N/A,N/A,N/A,2791
,="Plant Operation and Management",N/A,N/A,N/A,N/A,1470
,="Transportation",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,472
,="Total Expenditures",N/A,N/A,N/A,N/A,14850
="Plainfield School District",="Instructional Staff and Services",7921,7300,7371,7661,8055
,="Instructional Supplies and Equipment",163,152,176,363,204
,="Instruction and Educational Media Services",189,196,241,284,302
,="Student Support Services",1000,1017,1038,1062,1136
,="Administration and Support Services",1298,1282,1369,1556,1568
,="Plant Operation and Management",1163,1165,1247,1402,1489
,="Transportation",1009,942,1008,990,1308
,="Other",84,102,132,137,144
,="Total Expenditures",13637,12973,13293,13951,14661
="Plainville School District",="Instructional Staff and Services",8364,8597,8968,9648,9569
,="Instructional Supplies and Equipment",282,396,208,277,358
,="Instruction and Educational Media Services",386,417,476,524,526
,="Student Support Services",589,607,670,734,725
,="Administration and Support Services",1492,1615,1783,1709,1507
,="Plant Operation and Management",1455,1454,1426,1593,1394
,="Transportation",648,681,573,761,758
,="Other",0,0,0,0,0
,="Total Expenditures",13814,14297,14605,15212,15034
="Plymouth School District",="Instructional Staff and Services",7786,8725,8656,9089,9155
,="Instructional Supplies and Equipment",396,600,486,484,434
,="Instruction and Educational Media Services",256,131,286,331,279
,="Student Support Services",493,461,354,458,486
,="Administration and Support Services",1135,1165,1301,1347,1662
,="Plant Operation and Management",1957,1689,1850,1664,1585
,="Transportation",1106,1170,1171,1136,1061
,="Other",240,235,277,236,301
,="Total Expenditures",12757,13512,13618,14035,14330
="Pomfret School District",="Instructional Staff and Services",9306,8960,9136,10533,10281
,="Instructional Supplies and Equipment",261,243,354,393,408
,="Instruction and Educational Media Services",198,209,269,361,440
,="Student Support Services",216,238,242,440,334
,="Administration and Support Services",1077,1218,1265,1563,1745
,="Plant Operation and Management",1261,1096,1320,1741,1648
,="Transportation",945,1091,994,971,1194
,="Other",0,0,32,72,79
,="Total Expenditures",14963,15013,15526,18074,18513
="Portland School District",="Instructional Staff and Services",7476,7583,7727,7957,8351
,="Instructional Supplies and Equipment",212,355,336,558,426
,="Instruction and Educational Media Services",404,432,388,374,374
,="Student Support Services",798,844,830,851,895
,="Administration and Support Services",1452,1540,1582,1509,1506
,="Plant Operation and Management",1898,1777,1793,1804,2172
,="Transportation",555,577,590,590,654
,="Other",211,225,235,259,339
,="Total Expenditures",13068,13329,13485,13698,14624
="Preston School District",="Instructional Staff and Services",11205,11532,11220,10895,12169
,="Instructional Supplies and Equipment",325,253,134,335,175
,="Instruction and Educational Media Services",72,269,302,259,253
,="Student Support Services",746,1050,897,928,1156
,="Administration and Support Services",2091,2162,2074,2221,1971
,="Plant Operation and Management",1789,1844,2658,1910,1793
,="Transportation",1261,1488,1526,1415,1507
,="Other",0,126,99,111,88
,="Total Expenditures",20326,21334,20860,20535,21005
="Putnam School District",="Instructional Staff and Services",8257,8053,8016,8136,8400
,="Instructional Supplies and Equipment",292,491,406,396,461
,="Instruction and Educational Media Services",250,249,198,209,187
,="Student Support Services",1287,1654,1714,1812,1877
,="Administration and Support Services",1426,1678,1623,1672,1739
,="Plant Operation and Management",1362,1354,1387,1836,1760
,="Transportation",658,759,803,990,1001
,="Other",192,206,184,208,212
,="Total Expenditures",14619,15354,16262,16993,17508
="Redding School District",="Instructional Staff and Services",11945,12902,13835,14454,15025
,="Instructional Supplies and Equipment",240,236,240,254,410
,="Instruction and Educational Media Services",367,349,433,481,589
,="Student Support Services",172,183,184,207,224
,="Administration and Support Services",1517,1599,1670,1888,1927
,="Plant Operation and Management",1688,1751,2037,2110,2328
,="Transportation",784,712,764,744,813
,="Other",2,7,2,4,2
,="Total Expenditures",17532,18844,20322,21350,22645
="Regional School District 01",="Instructional Staff and Services",10653,11780,12695,11352,13310
,="Instructional Supplies and Equipment",468,668,569,750,1030
,="Instruction and Educational Media Services",968,1065,1222,1085,1703
,="Student Support Services",1548,1746,1804,1669,1559
,="Administration and Support Services",1939,2319,2447,2391,2621
,="Plant Operation and Management",2514,2688,3010,3095,3300
,="Transportation",283,303,341,361,342
,="Other",848,916,806,979,1034
,="Total Expenditures",20855,22389,23117,22664,26782
="Regional School District 04",="Instructional Staff and Services",8278,8508,8331,8605,8713
,="Instructional Supplies and Equipment",234,243,218,333,156
,="Instruction and Educational Media Services",272,305,290,374,362
,="Student Support Services",834,873,966,999,1020
,="Administration and Support Services",2834,2906,2136,2213,2218
,="Plant Operation and Management",2397,1927,1904,1940,1913
,="Transportation",492,550,627,717,677
,="Other",79,91,761,812,936
,="Total Expenditures",15990,15814,15485,16413,16948
="Regional School District 05",="Instructional Staff and Services",7682,8247,8304,8454,8695
,="Instructional Supplies and Equipment",210,200,208,298,250
,="Instruction and Educational Media Services",472,472,477,511,505
,="Student Support Services",887,934,1046,1103,1138
,="Administration and Support Services",2122,2262,2253,2373,2422
,="Plant Operation and Management",1372,1630,1646,1657,1553
,="Transportation",693,775,836,866,999
,="Other",384,376,402,425,440
,="Total Expenditures",14501,15523,15992,16663,17110
="Regional School District 06",="Instructional Staff and Services",8854,8966,9223,9654,9969
,="Instructional Supplies and Equipment",204,414,637,485,410
,="Instruction and Educational Media Services",754,562,657,755,812
,="Student Support Services",1012,994,1101,1150,1252
,="Administration and Support Services",1794,1819,1905,2012,2246
,="Plant Operation and Management",1709,1895,1820,1922,2004
,="Transportation",827,921,985,949,1122
,="Other",266,266,282,302,327
