"Classes Taught by High Quality Teachers, 2014-15"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,,"Percent of Classes Taught byHighly Qualified Teachers"
"Groton School District",="0590011","Claude Chester School",="0590311","High",100.0
"Groton School District",="0590011","Mary Morrisson School",="0591711","Middle",100.0
"Groton School District",="0590011","Northeast Academy Elementary School",="0591911","Middle",100.0
"Groton School District",="0590011","Pleasant Valley School",="0591211","Middle",100.0
"Groton School District",="0590011","Robert E. Fitch High School",="0596111","Middle",98.7
"Groton School District",="0590011","S. B. Butler School",="0590111","Middle",100.0
"Groton School District",="0590011","West Side Middle School",="0595211","High",100.0
"Guilford School District",="0600011","A. Baldwin Middle School",="0600711","Low",100.0
"Guilford School District",="0600011","A. W. Cox School",="0600611","Low",100.0
"Guilford School District",="0600011","Calvin Leete School",="0600411","Low",100.0
"Guilford School District",="0600011","E. C. Adams Middle School",="0605111","Low",100.0
"Guilford School District",="0600011","Guilford High School",="0606111","Low",100.0
"Guilford School District",="0600011","Guilford Lakes School",="0600211","Low",100.0
"Guilford School District",="0600011","Melissa Jones School",="0600311","Low",100.0
"Hamden School District",="0620011","Alice Peck Learning Center",="0628011","Middle",100.0
"Hamden School District",="0620011","Bear Path School",="0621211","Middle",100.0
"Hamden School District",="0620011","Church Street School",="0620211","High",100.0
"Hamden School District",="0620011","Dunbar Hill School",="0620311","Middle",100.0
"Hamden School District",="0620011","Hamden Collaborative Learning Center",="0620511","High",100.0
"Hamden School District",="0620011","Hamden High School",="0626111","Middle",100.0
"Hamden School District",="0620011","Hamden Middle School",="0625211","Middle",100.0
"Hamden School District",="0620011","Helen Street School",="0620411","High",100.0
"Hamden School District",="0620011","Ridge Hill School",="0621111","High",100.0
"Hamden School District",="0620011","Shepherd Glen School",="0620111","Middle",100.0
"Hamden School District",="0620011","Spring Glen School",="0621011","Middle",100.0
"Hamden School District",="0620011","West Woods School",="0621411","Low",100.0
"Hampton School District",="0630011","Hampton Elementary School",="0630111","Middle",100.0
"Hartford School District",="0640011","Asian Studies Academy at Bellizzi School",="0640711","High",100.0
"Hartford School District",="0640011","Batchelder School",="0640411","High",100.0
"Hartford School District",="0640011","Betances Early Reading Lab Magnet School",="0642811","Middle",100.0
"Hartford School District",="0640011","Betances STEM Magnet School",="0643811","Middle",100.0
"Hartford School District",="0640011","Breakthrough II Magnet School",="0643511","Middle",100.0
"Hartford School District",="0640011","Breakthrough Magnet School",="0643311","Middle",100.0
"Hartford School District",="0640011","Bulkeley High School",="0647111","High",100.0
"Hartford School District",="0640011","Bulkeley High School Lower School",="0646111","High",100.0
"Hartford School District",="0640011","Burns Latino Studies Academy",="0640611","High",100.0
"Hartford School District",="0640011","Burr School",="0642311","High",100.0
"Hartford School District",="0640011","Capital Community College Magnet Academy",="0643911","High",100.0
"Hartford School District",="0640011","Capital Preparatory Magnet School",="0646911","High",99.3
"Hartford School District",="0640011","Clark School",="0642411","High",100.0
"Hartford School District",="0640011","Classical Magnet School",="0646411","Middle",100.0
"Hartford School District",="0640011","Culinary Arts Academy at Weaver High School",="0646011","High",100.0
"Hartford School District",="0640011","Environmental Sciences Magnet at Hooker School",="0640911","High",100.0
"Hartford School District",="0640011","Expeditionary Learning Academy at Moylan School",="0643211","High",100.0
"Hartford School District",="0640011","Global Communications Academy",="0643611","High",100.0
"Hartford School District",="0640011","Great Path Academy at MCC",="0647911","Middle",100.0
"Hartford School District",="0640011","HPHS Engineering and Green Technology Academy",="0647211","High",100.0
"Hartford School District",="0640011","HPHS Law and Government Academy",="0647411","High",96.9
"Hartford School District",="0640011","HPHS Nursing and Health Sciences Academy",="0647511","High",100.0
"Hartford School District",="0640011","Hartford Magnet Trinity College Academy",="0645411","Middle",100.0
"Hartford School District",="0640011","High School, Inc.",="0647611","High",100.0
"Hartford School District",="0640011","Journalism and Media Academy Magnet School",="0647711","High",94.7
"Hartford School District",="0640011","Kennelly School",="0641011","High",100.0
"Hartford School District",="0640011","Kinsella Magnet School of Performing Arts",="0641111","High",100.0
"Hartford School District",="0640011","M. D. Fox School",="0640811","High",100.0
"Hartford School District",="0640011","M. L. King, Jr. School",="0641611","High",94.8
"Hartford School District",="0640011","McDonough Middle School",="0641211","High",94.1
"Hartford School District",="0640011","Milner School",="0641911","High",100.0
"Hartford School District",="0640011","Montessori Magnet at Fisher School",="0643711","Middle",71.4
"Hartford School District",="0640011","Montessori Magnet at Moylan School",="0640511","Middle",79.3
"Hartford School District",="0640011","Naylor/CCSU Leadership Academy",="0641411","High",100.0
"Hartford School District",="0640011","New Visions Program",="0642711","High",100.0
"Hartford School District",="0640011","OPPortunity High School",="0647811","High",100.0
"Hartford School District",="0640011","Parkville Community School",="0641511","High",100.0
"Hartford School District",="0640011","Pathways Academy of Technology and Design",="0646611","Middle",100.0
"Hartford School District",="0640011","Rawson School",="0641711","High",100.0
"Hartford School District",="0640011","Renzulli Gifted and Talented Academy",="0644011","High",85.5
"Hartford School District",="0640011","SAND School",="0640111","High",100.0
"Hartford School District",="0640011","STEM Magnet at Fisher School",="0642511","Middle",100.0
"Hartford School District",="0640011","Sanchez School",="0643011","High",100.0
"Hartford School District",="0640011","Simpson-Waverly School",="0642611","High",96.2
"Hartford School District",="0640011","Sports and Medical Sciences Academy",="0646511","High",100.0
"Hartford School District",="0640011","University High School of Science and Engineering",="0646711","Middle",100.0
"Hartford School District",="0640011","Webster Micro Society Magnet School",="0642011","Middle",100.0
"Hartford School District",="0640011","West Middle School",="0642111","High",100.0
"Hartford School District",="0640011","Wish Museum School",="0642211","High",100.0
"Hartland School District",="0650011","Hartland School",="0650111","Low",100.0
"Hebron School District",="0670011","Gilead Hill School",="0670211","Low",100.0
"Hebron School District",="0670011","Hebron Elementary School",="0670111","Low",100.0
"Highville Charter School District",="2860013","Highville Charter School",="2860113","High",89.4
"Integrated Day Charter School District",="2640013","Integrated Day Charter School",="2640113","Middle",100.0
"Interdistrict School for Arts and Comm District",="2650013","Interdistrict School For Arts And Communication",="2655113","High",95.2
"Jumoke Academy District",="2610013","Jumoke Academy",="2610113","Middle",92.9
"Kent School District",="0680011","Kent Center School",="0680111","Low",100.0
"Killingly School District",="0690011","Killingly Alternative Learning Program",="0690611","High",100.0
"Killingly School District",="0690011","Killingly Central School",="0690111","Middle",100.0
"Killingly School District",="0690011","Killingly High School",="0696111","Middle",100.0
"Killingly School District",="0690011","Killingly Intermediate School",="0695211","Middle",94.5
"Killingly School District",="0690011","Killingly Memorial School",="0690311","Middle",100.0
"Learn",="2450014","Connecticut River Academy",="2456014","High",100.0
"Learn",="2450014","Dual Language & Arts Magnet Middle School",="2455014","High",100.0
"Learn",="2450014","Learn ABA Program at Center School",="2451214","Low",100.0
"Learn",="2450014","Learn Haynes Elementary Intensive Program",="2451114","Middle",100.0
"Learn",="2450014","Learn High School ABA",="2450614","Middle",100.0
"Learn",="2450014","Learn Kelly Middle School Intensive Program",="2450914","Middle",100.0
"Learn",="2450014","Learn Ledyard RICHES Program",="2450714","Low",100.0
"Learn",="2450014","Learn SAILS Middle School Program",="2450814","High",100.0
"Learn",="2450014","Learn SAILS Program at Salem",="2451014","Middle",100.0
"Learn",="2450014","Learn STS 18-21 Year Old Program",="2450414","Low",100.0
"Learn",="2450014","Learn Special Education",="2459014","Middle",100.0
"Learn",="2450014","Marine Science Magnet High School of Southeastern Connecticut",="2456114","Middle",100.0
"Learn",="2450014","Regional Multicultural Magnet School",="2450114","Middle",100.0
"Learn",="2450014","Riverside Magnet School at Goodwin College",="2450314","Middle",100.0
"Learn",="2450014","The Friendship School",="2450214","Middle",100.0
"Learn",="2450014","Three Rivers Middle College Magnet School",="2456214","Middle",100.0
"Lebanon School District",="0710011","Lebanon Elementary School",="0710111","Middle",100.0
"Lebanon School District",="0710011","Lebanon Middle School",="0715111","Middle",100.0
"Lebanon School District",="0710011","Lyman Memorial High School",="0716211","Low",96.4
"Ledyard School District",="0720011","Gales Ferry School",="0720211","Middle",100.0
"Ledyard School District",="0720011","Gallup Hill School",="0720411","Middle",100.0
"Ledyard School District",="0720011","Juliet W. Long School",="0720311","Middle",100.0
"Ledyard School District",="0720011","Ledyard Center School",="0720111","Middle",100.0
"Ledyard School District",="0720011","Ledyard High School",="0726111","Middle",100.0
"Ledyard School District",="0720011","Ledyard Middle School",="0725111","Middle",100.0
"Lisbon School District",="0730011","Lisbon Central School",="0730111","Middle",100.0
"Litchfield School District",="0740011","Center School",="0740211","Low",100.0
"Litchfield School District",="0740011","Litchfield High School",="0746111","Low",100.0
"Litchfield School District",="0740011","Litchfield Intermediate School",="0740311","Middle",100.0
"Madison School District",="0760011","Daniel Hand High School",="0766111","Low",100.0
"Madison School District",="0760011","Dr. Robert H. Brown Middle School",="0760611","Low",100.0
"Madison School District",="0760011","Island Avenue Elementary School",="0760211","Low",100.0
"Madison School District",="0760011","J. Milton Jeffrey Elementary School",="0760111","Low",100.0
"Madison School District",="0760011","Kathleen H. Ryerson Elementary School",="0760311","Low",100.0
"Madison School District",="0760011","Town Campus Learning Center",="0769011","Low",100.0
"Madison School District",="0760011","Walter C. Polson Upper Middle School",="0765211","Low",100.0
"Manchester School District",="0770011","Bentley Alternative Education Program",="0770211","Middle",100.0
"Manchester School District",="0770011","Bowers School",="0770111","Middle",100.0
"Manchester School District",="0770011","Buckley School",="0770311","Middle",100.0
"Manchester School District",="0770011","Elisabeth M. Bennet Academy",="0771711","Middle",100.0
"Manchester School District",="0770011","Highland Park School",="0770411","Middle",100.0
"Manchester School District",="0770011","Illing Middle School",="0775311","Middle",100.0
"Manchester School District",="0770011","Keeney School",="0770611","Middle",100.0
"Manchester School District",="0770011","Manchester High School",="0776111","Middle",100.0
"Manchester School District",="0770011","Manchester Regional Academy",="0779011","High",100.0
"Manchester School District",="0770011","Martin School",="0771611","Middle",100.0
"Manchester School District",="0770011","Robertson School",="0771011","Middle",98.3
"Manchester School District",="0770011","Verplanck School",="0771211","High",100.0
"Manchester School District",="0770011","Waddell School",="0771311","Middle",100.0
"Manchester School District",="0770011","Washington School",="0771411","High",100.0
"Mansfield School District",="0780011","Annie E. Vinton School",="0780411","Middle",100.0
"Mansfield School District",="0780011","Dorothy C. Goodwin School",="0780211","Middle",100.0
"Mansfield School District",="0780011","Mansfield Middle School School",="0785111","Middle",100.0
"Mansfield School District",="0780011","Southeast Elementary School",="0780511","Middle",100.0
"Marlborough School District",="0790011","Elmer Thienes-Mary Hall Elementary School",="0790111","Low",94.6
"Meriden School District",="0800011","Nathan Hale School",="0800711","High",100.0
"Meriden School District",="0800011","Benjamin Franklin School",="0800111","High",100.0
"Meriden School District",="0800011","Casimir Pulaski School",="0801111","High",100.0
"Meriden School District",="0800011","Francis T. Maloney High School",="0806111","High",100.0
"Meriden School District",="0800011","Hanover School",="0800311","Middle",98.8
"Meriden School District",="0800011","Israel Putnam School",="0800411","High",100.0
"Meriden School District",="0800011","John Barry School",="0800511","High",100.0
"Meriden School District",="0800011","Lincoln Middle School",="0805211","High",100.0
"Meriden School District",="0800011","Orville H. Platt High School",="0806211","High",100.0
"Meriden School District",="0800011","Roger Sherman School",="0800811","High",100.0
"Meriden School District",="0800011","Thomas Hooker School",="0801011","Middle",98.2
"Meriden School District",="0800011","Washington Middle School",="0805411","High",98.0
"Middletown School District",="0830011","Bielefield School",="0830211","Middle",100.0
"Middletown School District",="0830011","Farm Hill School",="0830511","Middle",100.0
"Middletown School District",="0830011","ICM - Macdonough",="0831011","High",100.0
"Middletown School District",="0830011","ICM- Woodrow Wilson Middle School",="0830411","Middle",100.0
"Middletown School District",="0830011","Keigwin Middle School",="0831511","Middle",100.0
"Middletown School District",="0830011","Lawrence School",="0831311","Middle",100.0
"Middletown School District",="0830011","MacDonough School",="0830911","High",100.0
"Middletown School District",="0830011","Middletown High School",="0836211","Middle",100.0
"Middletown School District",="0830011","Moody School",="0831211","Middle",100.0
"Middletown School District",="0830011","Snow School",="0831111","Middle",97.1
"Middletown School District",="0830011","Spencer School",="0830111","Middle",100.0
"Middletown School District",="0830011","Wesley School",="0831411","Middle",100.0
"Middletown School District",="0830011","Woodrow Wilson Middle School",="0835411","Middle",100.0
"Milford School District",="0840011","Calf Pen Meadow School",="0840111","Middle",100.0
"Milford School District",="0840011","East Shore Middle School",="0845111","Middle",100.0
"Milford School District",="0840011","Harborside Middle School",="0845211","Low",97.7
"Milford School District",="0840011","J. F. Kennedy School",="0841911","Middle",100.0
"Milford School District",="0840011","Jonathan Law High School",="0846211","Middle",100.0
"Milford School District",="0840011","Joseph A. Foran High School",="0846311","Middle",100.0
"Milford School District",="0840011","Live Oaks School",="0841611","Middle",100.0
"Milford School District",="0840011","Mathewson School",="0841711","Middle",100.0
"Milford School District",="0840011","Meadowside School",="0840711","Middle",100.0
"Milford School District",="0840011","Orange Avenue School",="0840811","Middle",100.0
"Milford School District",="0840011","Orchard Hills School",="0841811","Middle",100.0
"Milford School District",="0840011","Pumpkin Delight School",="0841011","Middle",100.0
"Milford School District",="0840011","The Academy",="0840311","Middle",89.9
"Milford School District",="0840011","West Shore Middle School",="0845311","Middle",97.4
"Monroe School District",="0850011","Fawn Hollow Elementary School",="0850511","Low",100.0
"Monroe School District",="0850011","Jockey Hollow School",="0855211","Low",100.0
"Monroe School District",="0850011","Masuk High School",="0856111","Low",100.0
"Monroe School District",="0850011","Monroe Elementary School",="0850111","Low",100.0
"Monroe School District",="0850011","Stepney Elementary School",="0850311","Low",100.0
"Montville School District",="0860011","Dr. Charles E. Murphy School",="0860711","Middle",100.0
"Montville School District",="0860011","Leonard J. Tyl Middle School",="0865111","Middle",99.6
"Montville School District",="0860011","Mohegan School",="0860111","Middle",100.0
"Montville School District",="0860011","Montville High School",="0866111","Middle",100.0
"Montville School District",="0860011","Oakdale School",="0860511","Middle",100.0
"Montville School District",="0860011","Palmer Academy",="0869011","Middle",100.0
"Naugatuck School District",="0880011","Andrew Avenue School",="0880811","Middle",96.0
"Naugatuck School District",="0880011","City Hill Middle School",="0885111","Middle",100.0
"Naugatuck School District",="0880011","Cross Street Intermediate School",="0880211","Middle",100.0
"Naugatuck School District",="0880011","Hillside Intermediate School",="0880411","Middle",100.0
"Naugatuck School District",="0880011","Hop Brook Elementary School",="0880511","Middle",100.0
"Naugatuck School District",="0880011","Maple Hill School",="0880311","Middle",100.0
"Naugatuck School District",="0880011","Naugatuck High School",="0886111","Middle",100.0
"Naugatuck School District",="0880011","Salem School",="0880611","Middle",100.0
"Naugatuck School District",="0880011","Western School",="0880711","Middle",100.0
"New Beginnings Inc Family Academy District",="2800013","New Beginnings Inc Family Academy",="2800113","Middle",92.9
"New Beginnings Inc., Family Academy District",="2800013","New Beginnings Inc Family Academy",="2800113","Middle",92.9
"New Britain School District",="0890011","Alternative Center School",="0899111","High",100.0
"New Britain School District",="0890011","Chamberlain  Elementary School",="0890311","High",100.0
"New Britain School District",="0890011","Frank J. DiLoreto School",="0891111","High",100.0
"New Britain School District",="0890011","Gaffney School",="0890511","High",94.9
"New Britain School District",="0890011","Holmes School",="0890611","High",100.0
"New Britain School District",="0890011","House of Arts Letters and Science (HALS)  Academy",="0895411","Middle",100.0
"New Britain School District",="0890011","Jefferson School",="0890711","High",91.0
"New Britain School District",="0890011","Lincoln School",="0890811","High",100.0
"New Britain School District",="0890011","New Britain High School",="0896111","High",100.0
"New Britain School District",="0890011","New Britain Transition Center",="0899011","High",100.0
"New Britain School District",="0890011","Northend School",="0890911","High",97.0
"New Britain School District",="0890011","Pulaski Middle School",="0895311","High",97.9
"New Britain School District",="0890011","Slade Middle School",="0895211","High",99.5
"New Britain School District",="0890011","Smalley Academy",="0891211","High",98.9
"New Britain School District",="0890011","Smith School",="0891311","High",100.0
"New Britain School District",="0890011","Vance School",="0891511","High",100.0
"New Canaan School District",="0900011","East School",="0900411","Low",94.2
"New Canaan School District",="0900011","New Canaan High School",="0906111","Low",100.0
"New Canaan School District",="0900011","Saxe Middle School",="0905111","Low",100.0
"New Canaan School District",="0900011","South School",="0900211","Low",100.0
"New Canaan School District",="0900011","West School",="0900311","Low",100.0
"New Fairfield School District",="0910011","Consolidated School",="0910111","Low",100.0
"New Fairfield School District",="0910011","Meeting House Hill School",="0910211","Low",100.0
"New Fairfield School District",="0910011","New Fairfield High School",="0916111","Low",100.0
"New Fairfield School District",="0910011","New Fairfield Middle School",="0915211","Low",100.0
"New Hartford School District",="0920011","Ann Antolini School",="0920311","Low",100.0
"New Hartford School District",="0920011","Bakerville Consolidated School",="0920111","Low",100.0
"New Hartford School District",="0920011","New Hartford Elementary School",="0920211","Low",100.0
"New Haven School District",="0930011","Edgewood School",="0931211","Middle",93.2
"New Haven School District",="0930011","Nathan Hale School",="0931411","Middle",100.0
"New Haven School District",="0930011","Augusta Lewis Troup School",="0931511","High",100.0
"New Haven School District",="0930011","Barnard Environmental Magnet School",="0930211","Middle",100.0
"New Haven School District",="0930011","Beecher School",="0930311","Middle",100.0
"New Haven School District",="0930011","Benjamin Jepson Magnet School",="0931811","Middle",100.0
"New Haven School District",="0930011","Betsy Ross Arts Magnet School",="0935511","Middle",99.3
"New Haven School District",="0930011","Bishop Woods School",="0934311","Middle",87.2
"New Haven School District",="0930011","Brennan Rogers School",="0932111","High",98.9
"New Haven School District",="0930011","Celentano BioTech, Health and Medical Magnet School",="0934811","High",100.0
"New Haven School District",="0930011","Clemente Leadership Academy",="0934211","High",94.5
"New Haven School District",="0930011","Clinton Avenue School",="0930611","High",98.7
"New Haven School District",="0930011","Columbus Family Academy",="0934111","High",91.6
"New Haven School District",="0930011","Conte/West Hills Magnet School",="0933111","Middle",100.0
"New Haven School District",="0930011","Cooperative High School",="0936411","Middle",100.0
"New Haven School District",="0930011","Cortlandt V.R. Creed Health and Sport Sciences High School",="0936811","High",97.6
"New Haven School District",="0930011","Davis 21st Century Magnet Elementary School",="0930911","Middle",100.0
"New Haven School District",="0930011","Domus Academy",="0935611","High",100.0
"New Haven School District",="0930011","East Rock Community Magnet School",="0934611","Middle",99.2
"New Haven School District",="0930011","Engineering - Science University Magnet School",="0931711","Middle",100.0
"New Haven School District",="0930011","Fair Haven School",="0931611","High",100.0
"New Haven School District",="0930011","Helene Grant HeadStart",="0938311","High",100.0
"New Haven School District",="0930011","High School In The Community",="0936611","High",100.0
"New Haven School District",="0930011","Hill Central Music Academy",="0930711","High",97.9
"New Haven School District",="0930011","Hill Regional Career High School",="0936311","High",97.8
"New Haven School District",="0930011","James Hillhouse High School",="0936211","Middle",98.4
"New Haven School District",="0930011","John C. Daniels",="0931311","Middle",98.7
"New Haven School District",="0930011","John S. Martinez School",="0930811","High",100.0
"New Haven School District",="0930011","King/Robinson Magnet School",="0933011","Middle",100.0
"New Haven School District",="0930011","Lincoln-Bassett School",="0932011","High",100.0
"New Haven School District",="0930011","Mauro-Sheridan Magnet School",="0931911","Middle",100.0
"New Haven School District",="0930011","Metropolitan Business Academy",="0936011","Middle",100.0
"New Haven School District",="0930011","New Haven Academy",="0937011","Middle",100.0
"New Haven School District",="0930011","New Horizons High School",="0932211","High",100.0
"New Haven School District",="0930011","Polly T. McCabe Center",="0939211","High",100.0
"New Haven School District",="0930011","Quinnipiac Real World Math STEM School",="0933511","High",96.9
"New Haven School District",="0930011","Riverside Education Academy",="0939111","High",100.0
"New Haven School District",="0930011","Ross/Woodward School",="0931011","Middle",100.0
"New Haven School District",="0930011","Sound School",="0936711","Middle",100.0
"New Haven School District",="0930011","Strong 21st Century Communications Magnet and SCSU Lab School",="0932811","High",97.3
"New Haven School District",="0930011","Truman School",="0932911","High",100.0
"New Haven School District",="0930011","West Rock Authors Academy",="0934911","High",100.0
"New Haven School District",="0930011","Wexler/Grant Community School",="0933211","High",92.3
"New Haven School District",="0930011","Wilbur Cross High School",="0936111","Middle",99.0
"New Haven School District",="0930011","Worthington Hooker School",="0933811","Middle",86.4
"New London School District",="0950011","Jennings School",="0950311","High",95.0
"New London School District",="0950011","Bennie Dover Jackson Middle School",="0955111","High",95.4
"New London School District",="0950011","Harbor",="0950611","High",100.0
"New London School District",="0950011","Nathan Hale Arts Magnet School",="0950911","High",100.0
"New London School District",="0950011","New London High School",="0956111","High",93.5
"New London School District",="0950011","Winthrop STEM Elementary Magnet School",="0950811","High",97.2
"New Milford School District",="0960011","Hill And Plain School",="0960511","Middle",100.0
"New Milford School District",="0960011","John Pettibone School",="0960711","Middle",97.8
"New Milford School District",="0960011","Litchfield Hills Transition Center",="0969011","Low",100.0
"New Milford School District",="0960011","New Milford High School",="0966111","Middle",100.0
"New Milford School District",="0960011","Northville Elementary School",="0960811","Middle",100.0
"New Milford School District",="0960011","Sarah Noble Intermediate School",="0960911","Middle",100.0
"New Milford School District",="0960011","Schaghticoke Middle School",="0965211","Middle",97.9
"Newington School District",="0940011","Anna Reynolds School",="0940611","Middle",100.0
"Newington School District",="0940011","Elizabeth Green School",="0940211","Middle",100.0
"Newington School District",="0940011","John Paterson School",="0940811","Middle",100.0
"Newington School District",="0940011","John Wallace Middle School",="0945311","Middle",97.4
"Newington School District",="0940011","Martin Kellogg Middle School",="0945111","Middle",97.4
"Newington School District",="0940011","Newington High School",="0946111","Middle",100.0
"Newington School District",="0940011","Ruth Chaffee School",="0940711","Middle",100.0
"Newtown School District",="0970011","Hawley Elementary School",="0970111","Low",100.0
"Newtown School District",="0970011","Head O'Meadow Elementary School",="0970411","Low",100.0
"Newtown School District",="0970011","Middle Gate Elementary School",="0970311","Low",100.0
"Newtown School District",="0970011","Newtown High School",="0976111","Low",100.0
"Newtown School District",="0970011","Newtown Middle School",="0975111","Low",100.0
"Newtown School District",="0970011","Reed Intermediate School",="0970511","Low",100.0
"Newtown School District",="0970011","STARR",="0979011","Low",100.0
"Newtown School District",="0970011","Sandy Hook Elementary School",="0970211","Low",100.0
"Norfolk School District",="0980011","Botelle Elementary School",="0980111","Middle",100.0
"North Branford School District",="0990011","Jerome Harrison School",="0990411","Middle",100.0
"North Branford School District",="0990011","North Branford High School",="0996111","Middle",100.0
"North Branford School District",="0990011","North Branford Intermediate School",="0995111","Middle",100.0
"North Branford School District",="0990011","School to Work Program",="0999011","High",100.0
"North Branford School District",="0990011","Totoket Valley Elementary School",="0990611","Middle",100.0
"North Canaan School District",="1000011","North Canaan Elementary School",="1000111","Middle",100.0
"North Haven School District",="1010011","Clintonville Elementary School",="1010811","Middle",98.2
"North Haven School District",="1010011","Green Acres Elementary School",="1010711","Low",100.0
"North Haven School District",="1010011","Montowese Elementary School",="1010211","Low",100.0
"North Haven School District",="1010011","North Haven High School",="1016111","Middle",100.0
"North Haven School District",="1010011","North Haven Middle School",="1015211","Low",100.0
"North Haven School District",="1010011","North Haven Transition Partnership",="1010111","High",100.0
"North Haven School District",="1010011","Ridge Road Elementary School",="1010311","Low",100.0
"North Stonington School District",="1020011","North Stonington Elementary School",="1020111","Middle",100.0
"North Stonington School District",="1020011","Wheeler High School",="1026111","Middle",94.6
"North Stonington School District",="1020011","Wheeler Middle School",="1025111","Middle",93.5
"Norwalk School District",="1030011","Brien McMahon High School",="1036211","Middle",98.0
"Norwalk School District",="1030011","Brookside Elementary School",="1030211","Middle",100.0
"Norwalk School District",="1030011","Columbus Magnet School",="1030311","Middle",100.0
"Norwalk School District",="1030011","Cranbury Elementary School",="1030411","Middle",100.0
"Norwalk School District",="1030011","Fox Run Elementary School",="1032011","Middle",100.0
"Norwalk School District",="1030011","Jefferson Magnet School",="1030711","Middle",100.0
"Norwalk School District",="1030011","Kendall Elementary School",="1030811","Middle",98.4
"Norwalk School District",="1030011","Marvin Elementary School",="1032211","Middle",98.0
"Norwalk School District",="1030011","Naramake Elementary School",="1032111","Middle",100.0
"Norwalk School District",="1030011","Nathan Hale Middle School",="1035211","Middle",100.0
"Norwalk School District",="1030011","Norwalk High School",="1036111","Middle",98.9
"Norwalk School District",="1030011","Norwalk Pathways Academy at Briggs",="1036311","Middle",100.0
"Norwalk School District",="1030011","Ponus Ridge Middle School",="1035311","Middle",97.9
"Norwalk School District",="1030011","Roton Middle School",="1035511","Middle",100.0
"Norwalk School District",="1030011","Rowayton School",="1031311","Middle",100.0
"Norwalk School District",="1030011","Silvermine Elementary School",="1032311","Middle",90.1
"Norwalk School District",="1030011","Tracey School",="1031411","Middle",91.2
"Norwalk School District",="1030011","West Rocks Middle School",="1035411","Middle",100.0
"Norwalk School District",="1030011","Wolfpit School",="1032411","Middle",89.5
"Norwich Free Academy District",="9010022","Norwich Free Academy",="9016122","Middle",99.0
"Norwich School District",="1040011","Bishop School Early Learning Center",="1040111","High",100.0
"Norwich School District",="1040011","John B. Stanton Network School",="1041411","High",100.0
"Norwich School District",="1040011","Kelly Middle School",="1045111","High",100.0
"Norwich School District",="1040011","Moriarty Magnet School",="1042011","High",100.0
"Norwich School District",="1040011","Samuel Huntington School",="1040811","Middle",100.0
"Norwich School District",="1040011","Teachers' Memorial Middle School",="1045211","High",100.0
"Norwich School District",="1040011","Thomas W. Mahan School",="1041711","High",100.0
"Norwich School District",="1040011","Uncas Network School",="1041911","High",93.7
"Norwich School District",="1040011","Veterans' Memorial School",="1041811","High",90.6
"Norwich School District",="1040011","Wequonnoc Magnet School",="1041511","High",100.0
"Odyssey Community School District",="2630013","Odyssey Community School",="2635113","Middle",94.2
"Old Saybrook School District",="1060011","Kathleen E. Goodwin School",="1060211","Middle",100.0
"Old Saybrook School District",="1060011","Old Saybrook Middle School",="1065211","Middle",100.0
"Old Saybrook School District",="1060011","Old Saybrook Senior High School",="1066111","Low",100.0
"Orange School District",="1070011","Mary L. Tracy School",="1070211","Low",100.0
"Orange School District",="1070011","Peck Place School",="1070511","Low",100.0
"Orange School District",="1070011","Race Brook School",="1070311","Low",100.0
"Orange School District",="1070011","Turkey Hill School",="1070411","Low",100.0
"Oxford School District",="1080011","Great Oak School",="1085111","Low",100.0
"Oxford School District",="1080011","Oxford Center School",="1080111","Low",100.0
"Oxford School District",="1080011","Oxford High School",="1086011","Low",100.0
"Oxford School District",="1080011","Quaker Farms School",="1080311","Low",100.0
"Park City Prep Charter School District",="2830013","Park City Prep Charter School",="2835113","High",90.9
"Path Academy District",="2930013","Path Academy",="2930113","High",80.0
"Plainfield School District",="1090011","Moosup Elementary School",="1090111","Middle",100.0
"Plainfield School District",="1090011","Plainfield Central School",="1095111","Middle",100.0
"Plainfield School District",="1090011","Plainfield High School",="1096111","Middle",100.0
"Plainfield School District",="1090011","Plainfield Memorial School",="1090311","Middle",98.2
"Plainfield School District",="1090011","Shepard Hill Elementary School",="1090411","Middle",100.0
"Plainville School District",="1100011","Frank T. Wheeler School",="1100411","Middle",100.0
"Plainville School District",="1100011","Linden Street School",="1100211","Middle",100.0
"Plainville School District",="1100011","Louis Toffolon School",="1100511","Middle",100.0
"Plainville School District",="1100011","Middle School of Plainville",="1105211","Middle",100.0
"Plainville School District",="1100011","Plainville High School",="1106111","Middle",100.0
"Plymouth School District",="1110011","Eli Terry Jr. Middle School",="1115111","Middle",100.0
"Plymouth School District",="1110011","Harry S. Fisher Elementary School",="1110411","Middle",100.0
"Plymouth School District",="1110011","Plymouth Center School",="1110211","Middle",100.0
"Plymouth School District",="1110011","Terryville High School",="1116111","Middle",100.0
"Pomfret School District",="1120011","Pomfret Community School",="1120111","Middle",100.0
"Portland School District",="1130011","Brownstone Intermediate School",="1130511","Middle",100.0
"Portland School District",="1130011","Gildersleeve School",="1130411","Middle",96.3
"Portland School District",="1130011","Portland High School",="1136111","Middle",100.0
"Portland School District",="1130011","Portland Middle School",="1135111","Middle",100.0
